web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654744628-494","https://www.google.com/maps/place/Sugarbush+Farm/@43.6317094,-73.0761522,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+barre+vt!3m5!1s0x4cb4cd1add6e5a35:0xdd06a23646268c90!8m2!3d43.6650846!4d-72.4672866!15sChh0aGluZ3MgdG8gZG8gaW4gYmFycmUgdnRaGiIYdGhpbmdzIHRvIGRvIGluIGJhcnJlIHZ0kgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15T0dOcWNYTkJSUkFC","Sugarbush Farm","4.7","sugarbushfarm.com","591 Sugarbush Farm Rd, Woodstock, VT 05091","null","null","https://lh5.googleusercontent.com/p/AF1QipO_EQ4jp-gYjW0mX9EDcC16ebqtWhiS3_v7W3HN=w426-h240-k-no","null"
"1654744597-491","https://www.google.com/maps/place/China+Town/@44.2001297,-72.5230795,15z/data=!4m10!1m2!2m1!1sfood+in+barre+vt!3m6!1s0x4cb506dc7653546f:0xfe36263aab541e56!8m2!3d44.2000988!4d-72.5055567!10e1!15sChBmb29kIGluIGJhcnJlIHZ0WhIiEGZvb2QgaW4gYmFycmUgdnSSARJjaGluZXNlX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating","Amenities    Good for kids","null","Humble counter-serve Chinese eatery featuring a menu of Cantonese, Sichuan & Hunan dishes."
"1654744608-492","https://www.google.com/maps/place/China+Town/@44.2001297,-72.5230795,15z/data=!4m9!1m2!2m1!1sfood+in+barre+vt!3m5!1s0x4cb506dc7653546f:0xfe36263aab541e56!8m2!3d44.2000988!4d-72.5055567!15sChBmb29kIGluIGJhcnJlIHZ0WhIiEGZvb2QgaW4gYmFycmUgdnSSARJjaGluZXNlX3Jlc3RhdXJhbnQ","China Town","4.1","https://www.sirved.com/restaurant/barre-vermont-usa/china-town/327066/menus","306 N Main St, Barre, VT 05641","null","null","https://lh5.googleusercontent.com/p/AF1QipNVY7IHaFB1SViZQwFod2NseaUhFcKMEOfu10Uv=w426-h240-k-no","null"
"1654744659-497","https://www.google.com/maps/place/Billings+Farm+%26+Museum/@43.6317094,-73.0761522,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+barre+vt!3m6!1s0x89e1d81b8412d4cb:0xda0480210577c0d5!8m2!3d43.6317094!4d-72.5158495!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gYmFycmUgdnRaGiIYdGhpbmdzIHRvIGRvIGluIGJhcnJlIHZ0kgEOaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXliSEZoVmxWbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Restaurant","null","Working farm & museum dedicated to scientific-farming history, with interactive exhibits & demos."
"1654744669-498","https://www.google.com/maps/place/Billings+Farm+%26+Museum/@43.6317094,-73.0761522,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+barre+vt!3m5!1s0x89e1d81b8412d4cb:0xda0480210577c0d5!8m2!3d43.6317094!4d-72.5158495!15sChh0aGluZ3MgdG8gZG8gaW4gYmFycmUgdnRaGiIYdGhpbmdzIHRvIGRvIGluIGJhcnJlIHZ0kgEOaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXliSEZoVmxWbkVBRQ","Billings Farm & Museum","4.6","billingsfarm.org","69 Old River Rd, Woodstock, VT 05091","null","null","https://lh5.googleusercontent.com/p/AF1QipN62szdMuGH5Yn86CLWfbjs2XabChzHo9_j05PS=w408-h272-k-no","null"
"1654744587-490","https://www.google.com/maps/place/Cornerstone+Pub+%26+Kitchen/@44.2001297,-72.5230795,15z/data=!4m9!1m2!2m1!1sfood+in+barre+vt!3m5!1s0x4cb506da9676a24d:0x76ddbad38ecd4c0f!8m2!3d44.19757!4d-72.5013723!15sChBmb29kIGluIGJhcnJlIHZ0WhIiEGZvb2QgaW4gYmFycmUgdnSSAQ1iYXJfYW5kX2dyaWxsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5Ykc5aGNtZG5SUkFC","Cornerstone Pub & Kitchen","4.5","cornerstonepk.com","47 N Main St, Barre, VT 05641","null","null","https://lh5.googleusercontent.com/p/AF1QipNAZLDlvAKrMomOw5-7epSId5QdyZr5HqcenkJS=w408-h407-k-no","null"
"1654744638-495","https://www.google.com/maps/place/Thunder+Road/@44.2621859,-73.1409378,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+barre+vt!3m6!1s0x4cb5014f2c8b2d83:0x2002975b154fdcaf!8m2!3d44.1791152!4d-72.4882583!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gYmFycmUgdnRaGiIYdGhpbmdzIHRvIGRvIGluIGJhcnJlIHZ0kgEOY2FyX3JhY2VfdHJhY2uaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhOMGxsVjNsQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Quarter-mile, paved car-racing speedway, home of the annual ""Milk Bowl"" Late Model race."
"1654744618-493","https://www.google.com/maps/place/Sugarbush+Farm/@43.6317094,-73.0761522,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+barre+vt!3m6!1s0x4cb4cd1add6e5a35:0xdd06a23646268c90!8m2!3d43.6650846!4d-72.4672866!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gYmFycmUgdnRaGiIYdGhpbmdzIHRvIGRvIGluIGJhcnJlIHZ0kgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15T0dOcWNYTkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","Rural farm producing cheese varieties & maple syrups, with walks to view the tree-tapping process."
"1654744649-496","https://www.google.com/maps/place/Thunder+Road/@44.2621859,-73.1409378,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+barre+vt!3m5!1s0x4cb5014f2c8b2d83:0x2002975b154fdcaf!8m2!3d44.1791152!4d-72.4882583!15sChh0aGluZ3MgdG8gZG8gaW4gYmFycmUgdnRaGiIYdGhpbmdzIHRvIGRvIGluIGJhcnJlIHZ0kgEOY2FyX3JhY2VfdHJhY2uaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhOMGxsVjNsQlJSQUI","Thunder Road","4.7","thunderroadvt.com","61 Fisher Rd, Barre, VT 05641","null","null","https://lh5.googleusercontent.com/p/AF1QipPfwlClAwQkF3BLwDzxMIoWbcgIRfuUe8Hksuvo=w408-h306-k-no","null"
"1654744576-489","https://www.google.com/maps/place/Cornerstone+Pub+%26+Kitchen/@44.2001297,-72.5230795,15z/data=!4m10!1m2!2m1!1sfood+in+barre+vt!3m6!1s0x4cb506da9676a24d:0x76ddbad38ecd4c0f!8m2!3d44.19757!4d-72.5013723!10e1!15sChBmb29kIGluIGJhcnJlIHZ0WhIiEGZvb2QgaW4gYmFycmUgdnSSAQ1iYXJfYW5kX2dyaWxsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5Ykc5aGNtZG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Casual gastropub featuring a variety of craft beers in a contemporary space with an upbeat vibe."
