web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654739685-460","https://www.google.com/maps/place/Honey+Road/@44.47418,-73.2310522,14z/data=!4m9!1m2!2m1!1sfood+in+burlington+vt!3m5!1s0x4cca7af78a1cbd71:0xd8965f0e6990c594!8m2!3d44.4761072!4d-73.2122549!15sChVmb29kIGluIGJ1cmxpbmd0b24gdnRaFyIVZm9vZCBpbiBidXJsaW5ndG9uIHZ0kgEYbWVkaXRlcnJhbmVhbl9yZXN0YXVyYW50","Honey Road","4.7","honeyroadrestaurant.com","156 Church St, Burlington, VT 05401","null","null","https://lh5.googleusercontent.com/p/AF1QipMXkltaSqRv7Ui25qMgCc5IhN5Zlee_MKIaxK13=w408-h544-k-no","null"
"1654739716-463","https://www.google.com/maps/place/Battery+Park/@44.4519953,-73.3619376,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+burlington+vt!3m6!1s0x4cca7af0347bca5d:0xea2e35a3920a8564!8m2!3d44.481301!4d-73.2198861!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dFofIh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dJIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlkR1p4U0RKM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Historic park featuring a playground, summer concerts, ice-skating & views of Lake Champlain."
"1654739726-464","https://www.google.com/maps/place/Battery+Park/@44.4519953,-73.3619376,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+burlington+vt!3m5!1s0x4cca7af0347bca5d:0xea2e35a3920a8564!8m2!3d44.481301!4d-73.2198861!15sCh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dFofIh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dJIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlkR1p4U0RKM1JSQUI","Battery Park","4.5","enjoyburlington.com","Battery Park Extension, Burlington, VT 05401","null","null","https://lh5.googleusercontent.com/p/AF1QipPCnj7Bd0Hv3vp1O3GWZCyZwaz6uG1b6cp6uCzi=w408-h306-k-no","null"
"1654739767-468","https://www.google.com/maps/place/ECHO,+Leahy+Center+for+Lake+Champlain/@44.4519953,-73.3619376,11z/data=!3m1!5s0x4cca7afa943fd29f:0xdc5f4f353747c6b0!4m9!1m2!2m1!1sthings+to+do+in+burlington+vt!3m5!1s0x4cca7afa9720cbf9:0x8eddf37adf6cb85!8m2!3d44.4766747!4d-73.2208675!15sCh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dFofIh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dJIBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TkUxaVQyRlJFQUU","ECHO, Leahy Center for Lake Champlain","4.6","echovermont.org","1 College St, Burlington, VT 05401","null","null","https://lh5.googleusercontent.com/p/AF1QipObq-mGAJN7HLG2V1UjwkuhocNCx1Jc1fGQ9Msh=w408-h306-k-no","null"
"1654739747-466","https://www.google.com/maps/place/Waterfront+Park/@44.4519953,-73.3619376,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+burlington+vt!3m5!1s0x4cca7af026e6958b:0x17983ab63aa4bd15!8m2!3d44.4795194!4d-73.2219541!15sCh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dFofIh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dJIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlkemhIYzFsQkVBRQ","Waterfront Park","4.7","enjoyburlington.com","20 Lake St, Burlington, VT 05401","null","null","https://lh5.googleusercontent.com/p/AF1QipOQroLkVw4582r-za6NrYhT99Ntr4xrxKDE3X9Q=w408-h306-k-no","null"
"1654739737-465","https://www.google.com/maps/place/Waterfront+Park/@44.4519953,-73.3619376,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+burlington+vt!3m6!1s0x4cca7af026e6958b:0x17983ab63aa4bd15!8m2!3d44.4795194!4d-73.2219541!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dFofIh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dJIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlkemhIYzFsQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Community park on the lake featuring a boardwalk, sailing lessons & kayak & canoe rentals."
"1654739757-467","https://www.google.com/maps/place/ECHO,+Leahy+Center+for+Lake+Champlain/@44.4519953,-73.3619376,11z/data=!3m1!5s0x4cca7afa943fd29f:0xdc5f4f353747c6b0!4m10!1m2!2m1!1sthings+to+do+in+burlington+vt!3m6!1s0x4cca7afa9720cbf9:0x8eddf37adf6cb85!8m2!3d44.4766747!4d-73.2208675!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dFofIh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dJIBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TkUxaVQyRlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Kid-focused museum with 70+ species of animals, interactive exhibits about lake ecology & a cafe."
"1654739706-462","https://www.google.com/maps/place/Oakledge+Park/@44.4519953,-73.3619376,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+burlington+vt!3m5!1s0x4cca7b0bcdca121d:0x1717ad099e358878!8m2!3d44.4559917!4d-73.2254606!15sCh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dFofIh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dJIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRORGxxWkhOUlJSQUI","Oakledge Park","4.7","enjoyburlington.com","11 Flynn Ave, Burlington, VT 05401","null","null","https://lh5.googleusercontent.com/p/AF1QipNVtW6ATT2G16tWABQjbjRgD2FFQjKdowoP2vjP=w408-h306-k-no","null"
"1654739695-461","https://www.google.com/maps/place/Oakledge+Park/@44.4519953,-73.3619376,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+burlington+vt!3m6!1s0x4cca7b0bcdca121d:0x1717ad099e358878!8m2!3d44.4559917!4d-73.2254606!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dFofIh10aGluZ3MgdG8gZG8gaW4gYnVybGluZ3RvbiB2dJIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRORGxxWkhOUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Located on Lake Champlain, this park has a rocky swimming beach, sports facilities & a playground."
"1654739675-459","https://www.google.com/maps/place/Honey+Road/@44.47418,-73.2310522,14z/data=!4m10!1m2!2m1!1sfood+in+burlington+vt!3m6!1s0x4cca7af78a1cbd71:0xd8965f0e6990c594!8m2!3d44.4761072!4d-73.2122549!10e1!15sChVmb29kIGluIGJ1cmxpbmd0b24gdnRaFyIVZm9vZCBpbiBidXJsaW5ndG9uIHZ0kgEYbWVkaXRlcnJhbmVhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   High chairs   Restroom","null","Sophisticated Mediterranean small plates, cocktails & creative desserts in a comfy tavern setting."
