web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1655173882-58","https://www.google.com/maps/place/Clark+Lake+Park/@47.3791647,-122.4503305,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+kent+wa!3m2!1s0x54905e8e3961a499:0x70d34b4b5925cbc7!15sChd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YVoZIhd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRjRXBoVFVKbkVBRQ","Clark Lake Park","4.5","kentwa.gov","12520 SE 240th St, Kent, WA 98031","null","null","https://lh5.googleusercontent.com/p/AF1QipNuJrHBhvwlOdXIJFK41nA3jIwPUthgswseqXqB=w408-h544-k-no","null"
"1655173862-56","https://www.google.com/maps/place/Lake+Fenwick+Park/@47.3791647,-122.4503305,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+kent+wa!3m2!1s0x5490597de2faafdd:0x508042fe45ef5945!15sChd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YVoZIhd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmhiM1ZpTjJsblJSQUI","Lake Fenwick Park","4.4","kentwa.gov","25828 Lake Fenwick Rd, Kent, WA 98032","null","null","https://lh5.googleusercontent.com/p/AF1QipMFSG7lc3ip5e9AtCn9_voEoL4W76PsoL4Ytb7g=w408-h306-k-no","null"
"1655173841-54","https://www.google.com/maps/place/Lake+Meridian+Park/@47.3684794,-122.7989422,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+kent+wa!3m5!1s0x54905f1b1ecc9345:0xce3900dee30105aa!8m2!3d47.359782!4d-122.1435646!15sChd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YVoZIhd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhPVXRtZVc1UlJSQUI","Lake Meridian Park","4.4","kentwa.gov","14800 SE 272nd St, Kent, WA 98030","null","null","https://lh5.googleusercontent.com/p/AF1QipM1_gi9wcWxpyM4M61scb3YgGYMW92AOsT9FKxT=w408-h306-k-no","null"
"1655173903-60","https://www.google.com/maps/place/Kent+Historical+Museum/@47.3791647,-122.4503305,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+kent+wa!3m5!1s0x54905eaafabb6d19:0xfea4e792979f9967!8m2!3d47.3835329!4d-122.2243709!15sChd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YVoZIhd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YZIBDmhpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJOYTNCMlQyZEJSUkFC","Kent Historical Museum","4.5","gkhs.org","855 E Smith St, Kent, WA 98030","null","null","https://lh5.googleusercontent.com/p/AF1QipP8fpp1i6QDKrRd4NlD0YD296Ck6LZARg7NIcMH=w408-h410-k-no","null"
"1655173831-53","https://www.google.com/maps/place/Lake+Meridian+Park/@47.3684794,-122.7989422,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kent+wa!3m6!1s0x54905f1b1ecc9345:0xce3900dee30105aa!8m2!3d47.359782!4d-122.1435646!10e1!15sChd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YVoZIhd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhPVXRtZVc1UlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","City park with a playground, picnic shelters & lighted paths, plus swimming & a boat launch."
"1655173810-51","https://www.google.com/maps/place/Mama+Stortini's+Restaurant+%26+Bar/@47.385686,-122.3669785,12z/data=!4m10!1m2!2m1!1sfood+in+kent+wa!3m6!1s0x54905bffb07b4821:0x605584ae4924bbd7!8m2!3d47.3856986!4d-122.2351424!10e1!15sCg9mb29kIGluIGtlbnQgd2FaESIPZm9vZCBpbiBrZW50IHdhkgESaXRhbGlhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs","null","Casual choice for Italian & American meals from local ingredients plus beer, wine & cocktails."
"1655173872-57","https://www.google.com/maps/place/Clark+Lake+Park/@47.3791647,-122.4503305,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kent+wa!3m6!1s0x54905e8e3961a499:0x70d34b4b5925cbc7!8m2!3d47.3861533!4d-122.173919!10e1!15sChd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YVoZIhd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRjRXBoVFVKbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","A scenic 130-acre park around a lake offering fishing, walking trails & public art displays."
"1655173851-55","https://www.google.com/maps/place/Lake+Fenwick+Park/@47.3684794,-122.7989422,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kent+wa!3m6!1s0x5490597de2faafdd:0x508042fe45ef5945!8m2!3d47.3684794!4d-122.2715984!10e1!15sChd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YVoZIhd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmhiM1ZpTjJsblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Lush green lakefront park with a boat launch, a disc golf course & jogging trails on its 141 acres."
"1655173893-59","https://www.google.com/maps/place/Kent+Historical+Museum/@47.3791647,-122.4503305,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kent+wa!3m6!1s0x54905eaafabb6d19:0xfea4e792979f9967!8m2!3d47.3835329!4d-122.2243709!10e1!15sChd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YVoZIhd0aGluZ3MgdG8gZG8gaW4ga2VudCB3YZIBDmhpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJOYTNCMlQyZEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Time-tested 1908 house museum with period furnishings & exhibits of life in the early 20th century."
"1655173821-52","https://www.google.com/maps/place/Mama+Stortini's+Restaurant+%26+Bar/@47.385686,-122.3669785,12z/data=!4m9!1m2!2m1!1sfood+in+kent+wa!3m5!1s0x54905bffb07b4821:0x605584ae4924bbd7!8m2!3d47.3856986!4d-122.2351424!15sCg9mb29kIGluIGtlbnQgd2FaESIPZm9vZCBpbiBrZW50IHdhkgESaXRhbGlhbl9yZXN0YXVyYW50","Mama Stortini's Restaurant & Bar","4.2","mamastortinis.com","240 W Kent Station St #104, Kent, WA 98032","null","null","https://lh5.googleusercontent.com/p/AF1QipPrBZjmuBk_vWyjlfjHHSbRBycz36ZK0s598h5k=w408-h306-k-no","null"
