web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1655173073-15","https://www.google.com/maps/place/Seattle+Aquarium/@47.593695,-122.6360361,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+seattle+wa!3m6!1s0x54906aad8804fa43:0x6b99e65de2d47683!8m2!3d47.6074002!4d-122.3429558!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YZIBCGFxdWFyaXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oYjNCdGRHVkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Aquarium shop with books, stuffed animals & toys for visitors to underwater exhibits."
"1655173042-12","https://www.google.com/maps/place/Tilikum+Place+Cafe/@47.6166773,-122.3994368,12z/data=!4m6!1m2!2m1!1sfood+in+seattle!3m2!1s0x5490154f3b483be9:0xb8dba873b8fad944!15sCg9mb29kIGluIHNlYXR0bGVaESIPZm9vZCBpbiBzZWF0dGxlkgEEY2FmZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWRHRmZOemhuUlJBQg","Tilikum Place Cafe","4.6","tilikumplacecafe.com","407 Cedar St, Seattle, WA 98121","null","null","https://lh5.googleusercontent.com/p/AF1QipN5vsL8gvSuWPA7OEeBnN4R3TMDlTQMhfu0ygGC=w408-h306-k-no","null"
"1655173063-14","https://www.google.com/maps/place/Space+Needle/@47.593695,-122.6360361,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+seattle+wa!3m2!1s0x5490151f4ed5b7f9:0xdb2ba8689ed0920d!15sChp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YZIBEG9ic2VydmF0aW9uX2RlY2uaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlkR1poYUhsblJSQUI","Space Needle","4.6","spaceneedle.com","400 Broad St, Seattle, WA 98109","null","null","https://lh5.googleusercontent.com/p/AF1QipNsyFIaxF5tBjV3jve6HWp6tUmXldcDcRKRAxih=w408-h544-k-no","null"
"1655173094-17","https://www.google.com/maps/place/Seattle+Center/@47.593695,-122.6360361,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+seattle+wa!3m6!1s0x54901545d5e902b1:0x809dba0423e59752!8m2!3d47.6219126!4d-122.3516787!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YZIBC2V2ZW50X3ZlbnVlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QZDBvemFqUm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Huge community events complex with museums, theaters, gardens, sports stadium, restaurants & shops."
"1655173124-20","https://www.google.com/maps/place/Chihuly+Garden+and+Glass/@47.593695,-122.6360361,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+seattle+wa!3m2!1s0x54901545d66b3b55:0x7b41db287e00e687!15sChp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YZIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxhMlpMVUVwQkVBRQ","Chihuly Garden and Glass","4.7","chihulygardenandglass.com","305 Harrison St, Seattle, WA 98109","null","null","https://lh5.googleusercontent.com/p/AF1QipN6nZNXWj8UxZMVjEkElRkyn-PRHRaH3Xh2VZAa=w408-h306-k-no","null"
"1655173032-11","https://www.google.com/maps/place/Tilikum+Place+Cafe/@47.6179313,-122.4794952,12z/data=!4m10!1m2!2m1!1sfood+in+seattle!3m6!1s0x5490154f3b483be9:0xb8dba873b8fad944!8m2!3d47.6179353!4d-122.3476659!10e1!15sCg9mb29kIGluIHNlYXR0bGVaESIPZm9vZCBpbiBzZWF0dGxlkgEEY2FmZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWRHRmZOemhuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Bar onsite   High chairs   Restroom","null","European-style bistro & bar offering an eclectic, seasonal menu in a casual, stylish space."
"1655173083-16","https://www.google.com/maps/place/Seattle+Aquarium/@47.593695,-122.6360361,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+seattle+wa!3m5!1s0x54906aad8804fa43:0x6b99e65de2d47683!8m2!3d47.6074002!4d-122.3429558!15sChp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YZIBCGFxdWFyaXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oYjNCdGRHVkJFQUU","Seattle Aquarium","4.4","seattleaquarium.org","1483 Alaskan Way Pier 59, Seattle, WA 98101","null","null","https://lh5.googleusercontent.com/p/AF1QipObZOZTsgYTiJbTIcZjae1Rbci5BG1jS5eEpm8e=w408-h306-k-no","null"
"1655173114-19","https://www.google.com/maps/place/Chihuly+Garden+and+Glass/@47.593695,-122.6360361,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+seattle+wa!3m6!1s0x54901545d66b3b55:0x7b41db287e00e687!8m2!3d47.6205599!4d-122.3504476!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YZIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxhMlpMVUVwQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Art museum & sculpture garden showcasing Dale Chihuly's large, colorful glass works."
"1655173052-13","https://www.google.com/maps/place/Space+Needle/@47.593695,-122.6360361,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+seattle+wa!3m6!1s0x5490151f4ed5b7f9:0xdb2ba8689ed0920d!8m2!3d47.6205063!4d-122.3492774!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YZIBEG9ic2VydmF0aW9uX2RlY2uaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlkR1poYUhsblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Iconic, 605-ft.-tall spire at the Seattle Center, with an observation deck & a rotating restaurant."
"1655173104-18","https://www.google.com/maps/place/Seattle+Center/@47.593695,-122.6360361,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+seattle+wa!3m5!1s0x54901545d5e902b1:0x809dba0423e59752!8m2!3d47.6219126!4d-122.3516787!15sChp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc2VhdHRsZSB3YZIBC2V2ZW50X3ZlbnVlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QZDBvemFqUm5SUkFC","Seattle Center","4.6","seattlecenter.com","305 Harrison St, Seattle, WA 98109","null","null","https://lh5.googleusercontent.com/p/AF1QipPg9atDDSJauI-YTQIWGSpbPfId8c5o1Q3S6pXq=w408-h544-k-no","null"
