web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1655173313-28","https://www.google.com/maps/place/Manito+Park/@47.6935293,-117.7149046,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+spokane+wa!3m2!1s0x549e229b568c475b:0xf199c918d4a3166d!15sChp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXllamt5UjI1UlJSQUI","Manito Park","4.8","manitopark.org","1702 S Grand Blvd, Spokane, WA 99203","null","null","https://lh5.googleusercontent.com/p/AF1QipMH9l6GnpHNTsz-AS7zI8urZIP9bCLlv4Oo3DS7=w408-h306-k-no","null"
"1655173292-26","https://www.google.com/maps/place/Northwest+Museum+of+Arts+and+Culture/@47.6935293,-117.7149046,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+spokane+wa!3m2!1s0x5361df810bdfbf6f:0x7d1fa79e5a76fd18!15sChp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YZIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJoT1hCMk5saG5FQUU","Northwest Museum of Arts and Culture","4.6","northwestmuseum.org","2316 W 1st Ave, Spokane, WA 99201","null","null","https://lh5.googleusercontent.com/p/AF1QipPGTOJEhuHvRgqcVkL4zzOM0hqWyn6SgYchgdEg=w408-h306-k-no","null"
"1655173261-23","https://www.google.com/maps/place/Wonderland+Family+Fun+Center+Pizza+-+%26+Local+brews/@47.6935293,-117.7149046,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+spokane+wa!3m6!1s0x549e1c41fa1bf29b:0xaf43059abd3edda2!8m2!3d47.7535556!4d-117.4103804!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YZIBDmFtdXNlbWVudF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJKZGxwdFJtUkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","Mini-golf, laser tag & go-karts are some of the attractions at this complex with pizza & TV sports."
"1655173282-25","https://www.google.com/maps/place/Northwest+Museum+of+Arts+and+Culture/@47.6935293,-117.7149046,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+spokane+wa!3m6!1s0x5361df810bdfbf6f:0x7d1fa79e5a76fd18!8m2!3d47.6568839!4d-117.4455196!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YZIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJoT1hCMk5saG5FQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom","null","Exhibits blend regional history, art & culture at this eclectic museum that includes a mansion tour."
"1655173323-29","https://www.google.com/maps/place/Riverfront+Park/@47.6935293,-117.7149046,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+spokane+wa!3m6!1s0x549e18f55dce0399:0xd96e9bc9f649cf84!8m2!3d47.6620637!4d-117.4191283!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlNalpZZUVobkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Site of the 1974 World's Fair featuring sculptures, a carousel & a cable ride over Spokane Falls."
"1655173302-27","https://www.google.com/maps/place/Manito+Park/@47.6935293,-117.7149046,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+spokane+wa!3m6!1s0x549e229b568c475b:0xf199c918d4a3166d!8m2!3d47.63942!4d-117.4093973!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXllamt5UjI1UlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","78-acre park, opened in 1904, featuring rose, lilac, & formal & native plant gardens, plus a pond."
"1655173241-21","https://www.google.com/maps/place/Frank's+Diner+-+Downtown+Spokane/@47.6547429,-117.5663357,12z/data=!4m10!1m2!2m1!1sfood+in+spokane+wa!3m6!1s0x549e186852aa4c23:0xee2ac9bf9709bd0f!8m2!3d47.6547429!4d-117.4344998!10e1!15sChJmb29kIGluIHNwb2thbmUgd2FaFCISZm9vZCBpbiBzcG9rYW5lIHdhkgEFZGluZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhlWE0yWm5oM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Old-timey train car with wood booths & a counter dishes local American eats & popular breakfasts."
"1655173251-22","https://www.google.com/maps/place/Frank's+Diner+-+Downtown+Spokane/@47.6806385,-117.4832324,12z/data=!4m6!1m2!2m1!1sfood+in+spokane+wa!3m2!1s0x549e186852aa4c23:0xee2ac9bf9709bd0f!15sChJmb29kIGluIHNwb2thbmUgd2FaFCISZm9vZCBpbiBzcG9rYW5lIHdhkgEFZGluZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhlWE0yWm5oM1JSQUI","Frank's Diner - Downtown Spokane","4.7","franksdiners.com","1516 W 2nd Ave, Spokane, WA 99201","null","null","https://lh5.googleusercontent.com/p/AF1QipMhsTzaCHzyslEl3-WCPyzGLNajZJfbvbjorlK-=w408-h335-k-no","null"
"1655173333-30","https://www.google.com/maps/place/Riverfront+Park/@47.6935293,-117.7149046,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+spokane+wa!3m5!1s0x549e18f55dce0399:0xd96e9bc9f649cf84!8m2!3d47.6620637!4d-117.4191283!15sChp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlNalpZZUVobkVBRQ","Riverfront Park","4.7","riverfrontspokane.org","507 N Howard St, Spokane, WA 99201","null","null","https://lh5.googleusercontent.com/p/AF1QipP_Hc6OdMFqI1n-0qV7ftgxPT48Wze1LkVz6pw3=w408-h293-k-no","null"
"1655173272-24","https://www.google.com/maps/place/Wonderland+Family+Fun+Center+Pizza+-+%26+Local+brews/@47.6935293,-117.7149046,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+spokane+wa!3m2!1s0x549e1c41fa1bf29b:0xaf43059abd3edda2!15sChp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YVocIhp0aGluZ3MgdG8gZG8gaW4gc3Bva2FuZSB3YZIBDmFtdXNlbWVudF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJKZGxwdFJtUkJFQUU","Wonderland Family Fun Center Pizza - & Local brews","4.1","wonderlandspokane.com","10515 N Division St, Spokane, WA 99218","null","null","https://lh5.googleusercontent.com/p/AF1QipMa_lSvaq7phyXh3NexHXtVTGHCwa_SpoUKcCnN=w408-h272-k-no","null"
