web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1655173456-35","https://www.google.com/maps/place/Washington+State+History+Museum/@47.2708308,-122.6308774,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tacoma+wa!3m6!1s0x549055773dad362d:0xac232a7578f9e864!8m2!3d47.244736!4d-122.435954!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gdGFjb21hIHdhWhsiGXRoaW5ncyB0byBkbyBpbiB0YWNvbWEgd2GSAQ5oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUGFYUjJVRFYzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Museum exploring Washington state's history through high-tech exhibits such as a big model railroad."
"1655173487-38","https://www.google.com/maps/place/Point+Defiance+Park/@47.2708308,-122.6308774,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+tacoma+wa!3m2!1s0x5490536d7e5ebfb3:0x43bbfc1afbcf3a26!15sChl0aGluZ3MgdG8gZG8gaW4gdGFjb21hIHdhWhsiGXRoaW5ncyB0byBkbyBpbiB0YWNvbWEgd2GSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5EY1c5bVFWRm5FQUU","Point Defiance Park","4.7","metroparkstacoma.org","5400 N Pearl St, Tacoma, WA 98407","null","null","https://lh5.googleusercontent.com/p/AF1QipM6MdyLl8wBnyp7R7wRqczBDVtcqW_zlyUS-SiA=w426-h240-k-no","null"
"1655173426-32","https://www.google.com/maps/place/Duke's+Seafood/@47.2141937,-122.6025038,11z/data=!4m9!1m2!2m1!1sfood+in+tacoma+wa!3m5!1s0x549054f53a5eac87:0x5412f25c4abafc25!8m2!3d47.2825813!4d-122.479873!15sChFmb29kIGluIHRhY29tYSB3YVoTIhFmb29kIGluIHRhY29tYSB3YZIBEnNlYWZvb2RfcmVzdGF1cmFudA","Duke's Seafood","4.5","dukesseafood.com","3327 Ruston Way, Tacoma, WA 98402","null","null","https://lh5.googleusercontent.com/p/AF1QipP8nO4ZwWkOObRxz4V-4N6h8VGGxu7cZIX5pxRO=w408-h306-k-no","null"
"1655173467-36","https://www.google.com/maps/place/Washington+State+History+Museum/@47.2708308,-122.6308774,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+tacoma+wa!3m5!1s0x549055773dad362d:0xac232a7578f9e864!8m2!3d47.244736!4d-122.435954!15sChl0aGluZ3MgdG8gZG8gaW4gdGFjb21hIHdhWhsiGXRoaW5ncyB0byBkbyBpbiB0YWNvbWEgd2GSAQ5oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUGFYUjJVRFYzUlJBQg","Washington State History Museum","4.6","washingtonhistory.org","1911 Pacific Ave, Tacoma, WA 98402","null","null","https://lh5.googleusercontent.com/p/AF1QipOiu_VBi0_u89QZ9J3RAxpbp1zMHCtStnUVvfs=w426-h240-k-no","null"
"1655173498-39","https://www.google.com/maps/place/Museum+of+Glass/@47.2708308,-122.6308774,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tacoma+wa!3m6!1s0x54905577af033319:0xac5e5244de66c75e!8m2!3d47.2455008!4d-122.434019!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gdGFjb21hIHdhWhsiGXRoaW5ncyB0byBkbyBpbiB0YWNvbWEgd2GSAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyTkU5bFkxSlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Diverse indoor & outdoor glass-art exhibits plus a cone-shaped studio with working artists."
"1655173477-37","https://www.google.com/maps/place/Point+Defiance+Park/@47.2708308,-122.6308774,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tacoma+wa!3m6!1s0x5490536d7e5ebfb3:0x43bbfc1afbcf3a26!8m2!3d47.3040647!4d-122.5177233!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gdGFjb21hIHdhWhsiGXRoaW5ncyB0byBkbyBpbiB0YWNvbWEgd2GSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5EY1c5bVFWRm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Large park with the Point Defiance zoo & aquarium, hikes in an old-growth forest, gardens & beaches."
"1655173415-31","https://www.google.com/maps/place/Duke's+Seafood/@47.2141937,-122.6025038,11z/data=!4m10!1m2!2m1!1sfood+in+tacoma+wa!3m6!1s0x549054f53a5eac87:0x5412f25c4abafc25!8m2!3d47.2825813!4d-122.479873!10e1!15sChFmb29kIGluIHRhY29tYSB3YVoTIhFmb29kIGluIHRhY29tYSB3YZIBEnNlYWZvb2RfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Local chain serving market-fresh seafood, grass-fed burgers & cocktails in informal surroundings."
"1655173508-40","https://www.google.com/maps/place/Museum+of+Glass/@47.2708308,-122.6308774,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+tacoma+wa!3m5!1s0x54905577af033319:0xac5e5244de66c75e!8m2!3d47.2455008!4d-122.434019!15sChl0aGluZ3MgdG8gZG8gaW4gdGFjb21hIHdhWhsiGXRoaW5ncyB0byBkbyBpbiB0YWNvbWEgd2GSAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyTkU5bFkxSlJFQUU","Museum of Glass","4.5","museumofglass.org","1801 Dock St, Tacoma, WA 98402","null","null","https://lh5.googleusercontent.com/p/AF1QipNQwctuFvEmmYEw8ZoSFtGx14i7qArNZy1ojk75=w408-h292-k-no","null"
"1655173436-33","https://www.google.com/maps/place/Point+Defiance+Zoo+%26+Aquarium/@47.3049533,-122.7853294,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tacoma+wa!3m6!1s0x549053713b295535:0x65570a0ad2032829!8m2!3d47.3049533!4d-122.5216575!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gdGFjb21hIHdhWhsiGXRoaW5ncyB0byBkbyBpbiB0YWNvbWEgd2GSAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXlhVXh4ZUVOUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Zoo & aquarium with nearly 300 species, including tigers, meerkats & a landmark red wolf habitat."
"1655173446-34","https://www.google.com/maps/place/Point+Defiance+Zoo+%26+Aquarium/@47.2708308,-122.6308774,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+tacoma+wa!3m2!1s0x549053713b295535:0x65570a0ad2032829!15sChl0aGluZ3MgdG8gZG8gaW4gdGFjb21hIHdhWhsiGXRoaW5ncyB0byBkbyBpbiB0YWNvbWEgd2GSAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXlhVXh4ZUVOUkVBRQ","Point Defiance Zoo & Aquarium","4.5","pdza.org","5400 N Pearl St, Tacoma, WA 98407","null","null","https://lh5.googleusercontent.com/p/AF1QipPb-nR82e42Ah7qquCcf06JmmXcIPC7j7xXHoBw=w408-h307-k-no","null"
