web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1655173630-43","https://www.google.com/maps/place/Esther+Short+Park+and+Playground/@45.62584,-123.1858197,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+vancouver+wa!3m6!1s0x5495a8b09d100b8f:0xff6cf6c6942860b!8m2!3d45.6267119!4d-122.6748985!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gdmFuY291dmVyIHdhWh4iHHRoaW5ncyB0byBkbyBpbiB2YW5jb3V2ZXIgd2GSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YYzNONVJrNUJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Historic square with playgrounds & public art featuring activities for all ages, including concerts."
"1655173681-48","https://www.google.com/maps/place/Clark+County+Historical+Museum/@45.62584,-123.1858197,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+vancouver+wa!3m5!1s0x5495a8b5bcbc3561:0x91d8c39ea65f101e!8m2!3d45.6331712!4d-122.6712629!15sChx0aGluZ3MgdG8gZG8gaW4gdmFuY291dmVyIHdhWh4iHHRoaW5ncyB0byBkbyBpbiB2YW5jb3V2ZXIgd2GSAQ5oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWRqaFFTakpCUlJBQg","Clark County Historical Museum","4.6","cchmuseum.org","1511 Main St, Vancouver, WA 98660","null","null","https://lh5.googleusercontent.com/p/AF1QipPRYhRvPeCH1KDc-3qEHXEerVxfSrWEQio-5N17=w408-h724-k-no","null"
"1655173661-46","https://www.google.com/maps/place/Vancouver+Land+Bridge/@45.62584,-123.1858197,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+vancouver+wa!3m2!1s0x5495a8af541e19bd:0x60a9a54ba9ae8f3e!15sChx0aGluZ3MgdG8gZG8gaW4gdmFuY291dmVyIHdhWh4iHHRoaW5ncyB0byBkbyBpbiB2YW5jb3V2ZXIgd2GSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54TUV0eVRWWlJFQUU","Vancouver Land Bridge","4.5","null","WA-14, Vancouver, WA 98661","null","null","https://lh5.googleusercontent.com/p/AF1QipNs2H2x5kjfnwsW2Z9oO2uFcJVMGtwxPSpotLud=w426-h240-k-no","null"
"1655173650-45","https://www.google.com/maps/place/Vancouver+Land+Bridge/@45.62584,-123.1858197,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+vancouver+wa!3m6!1s0x5495a8af541e19bd:0x60a9a54ba9ae8f3e!8m2!3d45.6206752!4d-122.6667101!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gdmFuY291dmVyIHdhWh4iHHRoaW5ncyB0byBkbyBpbiB2YW5jb3V2ZXIgd2GSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54TUV0eVRWWlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","40-ft.-wide earth-covered pedestrian bridge with 2 overlooks, interpretive panels & native plants."
"1655173671-47","https://www.google.com/maps/place/Clark+County+Historical+Museum/@45.62584,-123.1858197,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+vancouver+wa!3m6!1s0x5495a8b5bcbc3561:0x91d8c39ea65f101e!8m2!3d45.6331712!4d-122.6712629!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gdmFuY291dmVyIHdhWh4iHHRoaW5ncyB0byBkbyBpbiB2YW5jb3V2ZXIgd2GSAQ5oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWRqaFFTakpCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Local & regional history exhibits, including many Native American items & a research library."
"1655173702-50","https://www.google.com/maps/place/Fort+Vancouver+National+Historic+Site/@45.6834056,-122.8709484,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+vancouver+wa!3m5!1s0x5495a8ad1c97ad7f:0x8c19fb5d5d06a371!8m2!3d45.62584!4d-122.658476!15sChx0aGluZ3MgdG8gZG8gaW4gdmFuY291dmVyIHdhWh4iHHRoaW5ncyB0byBkbyBpbiB2YW5jb3V2ZXIgd2GSAQ1oaXN0b3JpY19zaXRlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YYXpkbFExVm5FQUU","Fort Vancouver National Historic Site","4.7","nps.gov","612 E Reserve St, Vancouver, WA 98661","null","null","//lh6.googleusercontent.com/proxy/0_j5c2ixu08z8dv-5UEbZsDnPMggUlvTUTE5XpRWNELuYiTHSGOIKOD2RcAM7376gfKZmYwkl77LFHXmFlO0OiYx1wOkIA7jbX7Hkm7E5ERDVotXIuLixmWogikIaKhwUpuhVRgpmyRoKjSQjMBS3NFqTt-8Ugc=w424-h240-k-no","null"
"1655173692-49","https://www.google.com/maps/place/Fort+Vancouver+National+Historic+Site/@45.62584,-123.1858197,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+vancouver+wa!3m6!1s0x5495a8ad1c97ad7f:0x8c19fb5d5d06a371!8m2!3d45.62584!4d-122.658476!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gdmFuY291dmVyIHdhWh4iHHRoaW5ncyB0byBkbyBpbiB2YW5jb3V2ZXIgd2GSAQ1oaXN0b3JpY19zaXRlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YYXpkbFExVm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Park in a former trading post & fort, with lantern tours & 19th-century blacksmith demonstrations."
"1655173640-44","https://www.google.com/maps/place/Esther+Short+Park+and+Playground/@45.62584,-123.1858197,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+vancouver+wa!3m5!1s0x5495a8b09d100b8f:0xff6cf6c6942860b!8m2!3d45.6267119!4d-122.6748985!15sChx0aGluZ3MgdG8gZG8gaW4gdmFuY291dmVyIHdhWh4iHHRoaW5ncyB0byBkbyBpbiB2YW5jb3V2ZXIgd2GSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YYzNONVJrNUJFQUU","Esther Short Park and Playground","4.4","cityofvancouver.us","605 Esther St, Vancouver, WA 98660","null","null","https://lh5.googleusercontent.com/p/AF1QipPLJ_l5mzzfEs1HZJOhLt6FznxGuruFvlkDuZRW=w426-h240-k-no","null"
"1655173609-41","https://www.google.com/maps/place/Frontier+Public+House+Restaurant+of+Vancouver+WA/@45.6574617,-122.7982159,12z/data=!4m10!1m2!2m1!1sfood+in+vancouver+wa!3m6!1s0x5495aedf627c5a01:0xa5945b9d2a2dd61e!8m2!3d45.6574617!4d-122.66638!10e1!15sChRmb29kIGluIHZhbmNvdXZlciB3YVoWIhRmb29kIGluIHZhbmNvdXZlciB3YZIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Southern-inspired comfort fare joins house cocktails in a stylish plank-&-brick space with a patio."
"1655173620-42","https://www.google.com/maps/place/Frontier+Public+House+Restaurant+of+Vancouver+WA/@45.6392769,-122.6606245,12z/data=!4m9!1m2!2m1!1sfood+in+vancouver+wa!3m5!1s0x5495aedf627c5a01:0xa5945b9d2a2dd61e!8m2!3d45.6574617!4d-122.66638!15sChRmb29kIGluIHZhbmNvdXZlciB3YVoWIhRmb29kIGluIHZhbmNvdXZlciB3YZIBCnJlc3RhdXJhbnQ","Frontier Public House Restaurant of Vancouver WA","4.5","frontierpublichouse.com","4909 NE Hazel Dell Ave, Vancouver, WA 98663","null","null","https://lh5.googleusercontent.com/p/AF1QipN37qzJgs4ZVcH56P4Zzc0wo1BofnWKmuLLcC4=w408-h240-k-no-pi0-ya260.82-ro-0-fo100","null"
