web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654728773-283","https://www.google.com/maps/place/Phoenix+Park/@44.8114724,-92.0779124,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+eau+claire+wi!3m6!1s0x87f8bd6d0c8f4bef:0x1db5eeea84e8db65!8m2!3d44.8130493!4d-91.5041659!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aVofIh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXljSE5RTjFGbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This 9-acre riverbank park offers a walking labyrinth, picnic pavilion & year-round farmers' market."
"1654728732-279","https://www.google.com/maps/place/Randy's+Family+Restaurant/@44.788352,-91.582131,13z/data=!4m10!1m2!2m1!1sfood+in+eau+claire+wi!3m6!1s0x87f8bd8bc92e3ff1:0xa75c57e1b5822431!8m2!3d44.7883093!4d-91.5186529!10e1!15sChVmb29kIGluIGVhdSBjbGFpcmUgd2laFyIVZm9vZCBpbiBlYXUgY2xhaXJlIHdpkgERZmFtaWx5X3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids","null","Down-home plates, from breakfast staples to classic American mains, whipped up in unfussy surrounds."
"1654728794-285","https://www.google.com/maps/place/Children%E2%80%99s+Museum+of+Eau+Claire/@44.8114724,-92.0779124,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+eau+claire+wi!3m6!1s0x87f8bd0d0fc21b6f:0xef5431f60ce4145c!8m2!3d44.8125237!4d-91.5010228!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aVofIh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aZIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUk5PRGxJT0hSM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Educational interactive exhibits for children & play spaces for toddlers, plus art activities."
"1654728814-287","https://www.google.com/maps/place/Chippewa+Valley+Museum/@44.8114724,-92.0779124,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+eau+claire+wi!3m6!1s0x87f897d5f79ff3f7:0x50373362fe5f9a28!8m2!3d44.8114724!4d-91.5176097!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aVofIh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aZIBFGxvY2FsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oZG5aVFFrRjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Local museum showcasing the Chippewa Valley people & culture through time, with an ice-cream parlor."
"1654728804-286","https://www.google.com/maps/place/Children%E2%80%99s+Museum+of+Eau+Claire/@44.8114724,-92.0779124,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+eau+claire+wi!3m5!1s0x87f8bd0d0fc21b6f:0xef5431f60ce4145c!8m2!3d44.8125237!4d-91.5010228!15sCh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aVofIh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aZIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUk5PRGxJT0hSM1JSQUI","Children’s Museum of Eau Claire","4.7","childrensmuseumec.com","40 S Barstow St, Eau Claire, WI 54701","null","null","https://lh5.googleusercontent.com/p/AF1QipODnzazwR6GblHlHNUdjVgvlZAH8Cg83gM1rph0=w408-h272-k-no","null"
"1654728763-282","https://www.google.com/maps/place/Action+City/@44.8114724,-92.0779124,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+eau+claire+wi!3m5!1s0x87f8be9e63ebb513:0xa86547961ffec14a!8m2!3d44.7641216!4d-91.4664516!15sCh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aVofIh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aZIBEGFtdXNlbWVudF9jZW50ZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTJOamRYWjNaUlJSQUI","Action City","4.3","metropolisresort.com","2402 Lorch Ave, Eau Claire, WI 54701","null","null","https://lh5.googleusercontent.com/p/AF1QipNA4VRebSnOo_eNbE_belNM-GHnJX6vM1TqGTYN=w408-h240-k-no-pi-10-ya220-ro0-fo100","null"
"1654728784-284","https://www.google.com/maps/place/Phoenix+Park/@44.8114724,-92.0779124,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+eau+claire+wi!3m2!1s0x87f8bd6d0c8f4bef:0x1db5eeea84e8db65!15sCh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aVofIh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXljSE5RTjFGbkVBRQ","Phoenix Park","4.8","visiteauclaire.com","330 Riverfront Terrace, Eau Claire, WI 54703","null","null","https://lh5.googleusercontent.com/p/AF1QipOZhg6K2O7jqXAWRtLPLvSLtj_VWAlEHzqwqAS_=w408-h544-k-no","null"
"1654728825-288","https://www.google.com/maps/place/Chippewa+Valley+Museum/@44.8525755,-91.678717,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+eau+claire+wi!3m5!1s0x87f897d5f79ff3f7:0x50373362fe5f9a28!8m2!3d44.8114724!4d-91.5176097!15sCh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aVofIh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aZIBFGxvY2FsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oZG5aVFFrRjNFQUU","Chippewa Valley Museum","4.6","cvmuseum.com","1204 E Half Moon Dr, Eau Claire, WI 54703","null","null","https://lh5.googleusercontent.com/p/AF1QipMC0sP4DtiENtUw-votE2Has4tG48NVB2zIvbde=w503-h240-k-no","null"
"1654728743-280","https://www.google.com/maps/place/Randy's+Family+Restaurant/@44.788352,-91.582131,13z/data=!4m9!1m2!2m1!1sfood+in+eau+claire+wi!3m5!1s0x87f8bd8bc92e3ff1:0xa75c57e1b5822431!8m2!3d44.7883093!4d-91.5186529!15sChVmb29kIGluIGVhdSBjbGFpcmUgd2laFyIVZm9vZCBpbiBlYXUgY2xhaXJlIHdpkgERZmFtaWx5X3Jlc3RhdXJhbnQ","Randy's Family Restaurant","4.6","randysfood.com","1132 W MacArthur Ave, Eau Claire, WI 54701","null","null","https://lh5.googleusercontent.com/p/AF1QipMv7Bi4lqUlT6ve5BmaclGRQM7UhmGPMnCQ2Wt0=w408-h544-k-no","null"
"1654728753-281","https://www.google.com/maps/place/Action+City/@44.8114724,-92.0779124,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+eau+claire+wi!3m6!1s0x87f8be9e63ebb513:0xa86547961ffec14a!8m2!3d44.7641216!4d-91.4664516!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aVofIh10aGluZ3MgdG8gZG8gaW4gZWF1IGNsYWlyZSB3aZIBEGFtdXNlbWVudF9jZW50ZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTJOamRYWjNaUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Massive activity space with indoor go karts, laser tag, bumper karts & 18-hole mini golf."
