web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654726674-248","https://www.google.com/maps/place/Green+Bay+Botanical+Garden/@44.5311737,-88.6586618,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+green+bay+wi!3m5!1s0x8802f9fc5914af03:0xa53021d64788e1a1!8m2!3d44.5311737!4d-88.0983591!15sChx0aGluZ3MgdG8gZG8gaW4gZ3JlZW4gYmF5IHdpWh4iHHRoaW5ncyB0byBkbyBpbiBncmVlbiBiYXkgd2mSARBib3RhbmljYWxfZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZW1aRWIxWkJFQUU","Green Bay Botanical Garden","4.8","gbbg.org","2600 Larsen Rd, Green Bay, WI 54303","null","null","https://lh5.googleusercontent.com/p/AF1QipObjQ9bPBg4rnh7symS4nn5k0auU2Je9ckbjl2Y=w426-h240-k-no","null"
"1654726633-244","https://www.google.com/maps/place/Packers+Hall+of+Fame+%26+Museum/@44.5311737,-88.6586618,10z/data=!3m1!5s0x8802fa4e0f6f1be9:0x2a293d506d01bc5f!4m9!1m2!2m1!1sthings+to+do+in+green+bay+wi!3m5!1s0x8802fb3716468881:0x959d6852e6569f0c!8m2!3d44.5015622!4d-88.0601798!15sChx0aGluZ3MgdG8gZG8gaW4gZ3JlZW4gYmF5IHdpWh4iHHRoaW5ncyB0byBkbyBpbiBncmVlbiBiYXkgd2mSAQ9oZXJpdGFnZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnRiVTFmWDNCblJSQUI","Packers Hall of Fame & Museum","4.8","packershofandtours.com","1265 Lombardi Ave, Green Bay, WI 54304","null","null","https://lh5.googleusercontent.com/p/AF1QipMSugNUvgpGMM_WFxNZ2fpNKU1CJehs046RV7Vh=w408-h306-k-no","null"
"1654726602-241","https://www.google.com/maps/place/Bay+Beach+Amusement+Park/@44.5311737,-88.6586618,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+green+bay+wi!3m6!1s0x8802facabb88ead5:0x495ba124fe7e257f!8m2!3d44.5315546!4d-87.9797893!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZ3JlZW4gYmF5IHdpWh4iHHRoaW5ncyB0byBkbyBpbiBncmVlbiBiYXkgd2mSAQ5hbXVzZW1lbnRfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOaGJWcE1jMHhCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Vibrant amusement park featuring rides such as bumper cars, a Ferris wheel & slides."
"1654726654-246","https://www.google.com/maps/place/Heritage+Hill+State+Historical+Park/@44.5311737,-88.6586618,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+green+bay+wi!3m2!1s0x8802fb6a5b3f078f:0x90df20dbc5c7321b!15sChx0aGluZ3MgdG8gZG8gaW4gZ3JlZW4gYmF5IHdpWh4iHHRoaW5ncyB0byBkbyBpbiBncmVlbiBiYXkgd2mSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TFRoNlpFSjNFQUU","Heritage Hill State Historical Park","4.6","heritagehillgb.org","2640 S Webster Ave, Green Bay, WI 54301","null","null","https://lh5.googleusercontent.com/p/AF1QipOrFQ_qgRjWX3_PzgAqysXK2gUfkW2uh814Yuox=w426-h240-k-no","null"
"1654726592-240","https://www.google.com/maps/place/Al's+Hamburger/@44.5133039,-88.1566838,12z/data=!4m9!1m2!2m1!1sfood+in+green+bay+wi!3m5!1s0x8802faca193e3cdf:0xdec7cf5d9722c454!8m2!3d44.5133124!4d-88.0166225!15sChRmb29kIGluIGdyZWVuIGJheSB3aVoWIhRmb29kIGluIGdyZWVuIGJheSB3aZIBFGhhbWJ1cmdlcl9yZXN0YXVyYW50","Al's Hamburger","4.4","alshamburgergb.com","131 S Washington St, Green Bay, WI 54301","null","null","https://lh5.googleusercontent.com/p/AF1QipNjsQfNcP2tgDBzwqnIAtHCKY8QHneJrM4sjKRd=w408-h306-k-no","null"
"1654726644-245","https://www.google.com/maps/place/Heritage+Hill+State+Historical+Park/@44.5311737,-88.6586618,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+green+bay+wi!3m6!1s0x8802fb6a5b3f078f:0x90df20dbc5c7321b!8m2!3d44.4734614!4d-88.0312908!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZ3JlZW4gYmF5IHdpWh4iHHRoaW5ncyB0byBkbyBpbiBncmVlbiBiYXkgd2mSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TFRoNlpFSjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   Public restroom","null","48-acre outdoor living history museum on the Fox River dedicated to showcasing Wisconsin’s past."
"1654726582-239","https://www.google.com/maps/place/Al's+Hamburger/@44.5133039,-88.1566838,12z/data=!4m10!1m2!2m1!1sfood+in+green+bay+wi!3m6!1s0x8802faca193e3cdf:0xdec7cf5d9722c454!8m2!3d44.5133124!4d-88.0166225!10e1!15sChRmb29kIGluIGdyZWVuIGJheSB3aVoWIhRmb29kIGluIGdyZWVuIGJheSB3aZIBFGhhbWJ1cmdlcl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids   Restroom","null","Old-school eatery, dating to 1934, for burgers, breakfast & shakes in a no-frills setting."
"1654726623-243","https://www.google.com/maps/place/Packers+Hall+of+Fame+%26+Museum/@44.5311737,-88.6586618,10z/data=!3m1!5s0x8802fa4e0f6f1be9:0x2a293d506d01bc5f!4m10!1m2!2m1!1sthings+to+do+in+green+bay+wi!3m6!1s0x8802fb3716468881:0x959d6852e6569f0c!8m2!3d44.5015622!4d-88.0601798!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZ3JlZW4gYmF5IHdpWh4iHHRoaW5ncyB0byBkbyBpbiBncmVlbiBiYXkgd2mSAQ9oZXJpdGFnZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnRiVTFmWDNCblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","2 floors of high-tech exhibits focused on the local Super Bowl–winning football team."
"1654726613-242","https://www.google.com/maps/place/Bay+Beach+Amusement+Park/@44.5311737,-88.6586618,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+green+bay+wi!3m5!1s0x8802facabb88ead5:0x495ba124fe7e257f!8m2!3d44.5315546!4d-87.9797893!15sChx0aGluZ3MgdG8gZG8gaW4gZ3JlZW4gYmF5IHdpWh4iHHRoaW5ncyB0byBkbyBpbiBncmVlbiBiYXkgd2mSAQ5hbXVzZW1lbnRfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOaGJWcE1jMHhCRUFF","Bay Beach Amusement Park","4.7","baybeach.org","1313 Bay Beach Rd, Green Bay, WI 54302","null","null","https://lh5.googleusercontent.com/p/AF1QipO6k46xcM12zoOy_eq3KPxrDSiE4EfZhk9Z64ah=w408-h306-k-no","null"
"1654726664-247","https://www.google.com/maps/place/Green+Bay+Botanical+Garden/@44.5311737,-88.6586618,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+green+bay+wi!3m6!1s0x8802f9fc5914af03:0xa53021d64788e1a1!8m2!3d44.5311737!4d-88.0983591!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZ3JlZW4gYmF5IHdpWh4iHHRoaW5ncyB0byBkbyBpbiBncmVlbiBiYXkgd2mSARBib3RhbmljYWxfZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZW1aRWIxWkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","47-acre botanical garden offering areas devoted to roses, native plants, apples & more, plus events."
