web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654732957-350","https://www.google.com/maps/place/Chow+Thai/@38.3450003,-81.7026261,13z/data=!4m9!1m2!2m1!1sfood+in+charleston+wv!3m5!1s0x884f2ccb9668039f:0xf2a4379c2d77efbd!8m2!3d38.3504863!4d-81.6296664!15sChVmb29kIGluIGNoYXJsZXN0b24gd3ZaFyIVZm9vZCBpbiBjaGFybGVzdG9uIHd2kgEPdGhhaV9yZXN0YXVyYW50","Chow Thai","4.8","chowthaiwv.com","426 1/2 B Shrewsbury St, Charleston, WV 25301","null","null","https://lh5.googleusercontent.com/p/AF1QipNP1rO3fW5Ot6w-RrzvA_mFXUFIp0XDtQnk_ljS=w408-h544-k-no","null"
"1654733040-358","https://www.google.com/maps/place/West+Virginia+State+Museum/@38.3249443,-81.777304,11z/data=!3m1!5s0x884f2ca35bebd7f3:0x2863b2fd65ad1f16!4m9!1m2!2m1!1sthings+to+do+in+charleston+wv!3m5!1s0x884f2ca4ae9f2e95:0x7c864fef09e6afc0!8m2!3d38.3377692!4d-81.6141469!15sCh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dpIBDmhpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVEyWDJVM1ZUWjNSUkFC","West Virginia State Museum","4.7","wvculture.org","1900 Kanawha Blvd E #435, Charleston, WV 25305","null","null","https://lh5.googleusercontent.com/p/AF1QipNFObqo78qx8buP7k7OSLpPc3kGd2l2pV8Y9OUv=w408-h306-k-no","null"
"1654732968-351","https://www.google.com/maps/place/Avampato+Discovery+Museum/@38.3249443,-81.777304,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+charleston+wv!3m6!1s0x884f2cc95eaf892d:0xf6868ea487136aad!8m2!3d38.3485441!4d-81.6293574!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dpIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGNVbExkbkZuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Family-friendly museum with a variety of fine arts & science-related exhibits plus hands-on play."
"1654732999-354","https://www.google.com/maps/place/Magic+Island+Park/@38.3249443,-81.777304,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+charleston+wv!3m5!1s0x8848d2d50d62099f:0xa3be87eea0eca01d!8m2!3d38.3572138!4d-81.6488847!15sCh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dpIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhhVFZJYjI1M1JSQUI","Magic Island Park","4.2","null","Berkeley St, Charleston, WV 25302","null","null","https://lh5.googleusercontent.com/p/AF1QipOG7aj0F-F-DlA17cFs5fFSCMFZFjc2sTPlDzWX=w408-h544-k-no","null"
"1654733019-356","https://www.google.com/maps/place/Clay+Center/@38.3249443,-81.777304,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+charleston+wv!3m5!1s0x884f2cc95eaf892d:0x2ca1bd2aaa08076b!8m2!3d38.348139!4d-81.629711!15sCh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dpIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTGRVbDVka1ZuRUFF","Clay Center","4.6","theclaycenter.org","1 Clay Square, Charleston, WV 25301","null","null","https://lh5.googleusercontent.com/p/AF1QipNFgKJ4jCkGyNJJjb0k-n4ypcRwC7h7gnAg2HGV=w426-h240-k-no","null"
"1654732947-349","https://www.google.com/maps/place/Chow+Thai/@38.3450003,-81.7026261,13z/data=!4m10!1m2!2m1!1sfood+in+charleston+wv!3m6!1s0x884f2ccb9668039f:0xf2a4379c2d77efbd!8m2!3d38.3504863!4d-81.6296664!10e1!15sChVmb29kIGluIGNoYXJsZXN0b24gd3ZaFyIVZm9vZCBpbiBjaGFybGVzdG9uIHd2kgEPdGhhaV9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","A limited menu of Thai classics & some updated items, served at a counter in a simple setting."
"1654733009-355","https://www.google.com/maps/place/Clay+Center/@38.3249443,-81.777304,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+charleston+wv!3m6!1s0x884f2cc95eaf892d:0x2ca1bd2aaa08076b!8m2!3d38.348139!4d-81.629711!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dpIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTGRVbDVka1ZuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Venue for interactive exhibits, science-related movies on a jumbo screen & diverse performances."
"1654732978-352","https://www.google.com/maps/place/Avampato+Discovery+Museum/@38.3249443,-81.777304,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+charleston+wv!3m5!1s0x884f2cc95eaf892d:0xf6868ea487136aad!8m2!3d38.3485441!4d-81.6293574!15sCh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dpIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGNVbExkbkZuUlJBQg","Avampato Discovery Museum","4.6","theclaycenter.org","1 Clay Square, Charleston, WV 25301","null","null","https://lh5.googleusercontent.com/p/AF1QipOx5pOvNR_obTKl5P2Sky5gYNseVQb2ceoJiefc=w408-h544-k-no","null"
"1654732988-353","https://www.google.com/maps/place/Magic+Island+Park/@38.3249443,-81.777304,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+charleston+wv!3m6!1s0x8848d2d50d62099f:0xa3be87eea0eca01d!8m2!3d38.3572138!4d-81.6488847!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dpIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhhVFZJYjI1M1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Public park on the Kanawha River with a playground, splash pad, grassy areas & walking paths."
"1654733030-357","https://www.google.com/maps/place/West+Virginia+State+Museum/@38.3249443,-81.777304,11z/data=!3m1!5s0x884f2ca35bebd7f3:0x2863b2fd65ad1f16!4m10!1m2!2m1!1sthings+to+do+in+charleston+wv!3m6!1s0x884f2ca4ae9f2e95:0x7c864fef09e6afc0!8m2!3d38.3377692!4d-81.6141469!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gY2hhcmxlc3RvbiB3dpIBDmhpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVEyWDJVM1ZUWjNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Renovated museum with art & exhibitions celebrating West Virginia's history & culture."
