web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654733231-365","https://www.google.com/maps/place/Harris+Riverfront+Park/@38.4239565,-82.5830648,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+huntington+wv!3m6!1s0x884609e5c51b46ab:0xb8c44b419b28d068!8m2!3d38.4239565!4d-82.4429891!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dpIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlpORFZUZFdsblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Green space with a skate park, playground & amphitheater, plus picnic tables & exercise equipment."
"1654733242-366","https://www.google.com/maps/place/Harris+Riverfront+Park/@38.3764119,-82.6074431,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+huntington+wv!3m5!1s0x884609e5c51b46ab:0xb8c44b419b28d068!8m2!3d38.4239565!4d-82.4429891!15sCh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dpIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlpORFZUZFdsblJSQUI","Harris Riverfront Park","4.3","ghprd.org","10th St &, Veterans Memorial Blvd, Huntington, WV 25701","null","null","https://lh5.googleusercontent.com/p/AF1QipMgxXddkVNoPUTvrcyre9UbhIOWMmrL0obL6fSm=w408-h306-k-no","null"
"1654733180-360","https://www.google.com/maps/place/Bahnhof+WVrsthaus+%26+Biergarten/@38.4076494,-82.4562118,14z/data=!4m9!1m2!2m1!1sfood+in+huntington+wv!3m5!1s0x884609da471559eb:0xf16204270c93cc6a!8m2!3d38.4161471!4d-82.4445556!15sChVmb29kIGluIGh1bnRpbmd0b24gd3ZaFyIVZm9vZCBpbiBodW50aW5ndG9uIHd2kgERZ2VybWFuX3Jlc3RhdXJhbnQ","Bahnhof WVrsthaus & Biergarten","4.5","bahnhofwv.com","745 7th Ave, Huntington, WV 25701","null","null","https://lh5.googleusercontent.com/p/AF1QipNM8VLHL_D_xuFSI7xqh_FbBd_Jmkn9qNxHCzy_=w425-h240-k-no","null"
"1654733252-367","https://www.google.com/maps/place/Heritage+Farm+Museum+%26+Village/@38.3764119,-82.6074431,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+huntington+wv!3m6!1s0x8845e22ef865d447:0x689d353752128932!8m2!3d38.3764183!4d-82.4673583!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dpIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReU9FbGZTbkYzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Replica Appalachian village recreates rural life with school, mercantile & other building tours."
"1654733221-364","https://www.google.com/maps/place/Huntington+Museum+of+Art/@38.4239565,-82.5830648,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+huntington+wv!3m5!1s0x8845e26183b51c93:0x699e2ab1b6e486f!8m2!3d38.3929342!4d-82.4341479!15sCh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dpIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWEzWklRemgzUlJBQg","Huntington Museum of Art","4.8","hmoa.org","2033 McCoy Rd, Huntington, WV 25701","null","null","https://lh5.googleusercontent.com/p/AF1QipMSyYwHbHPQ6pjOe5i_mKDqOeIkG3ptaL09QI78=w408-h270-k-no","null"
"1654733170-359","https://www.google.com/maps/place/Bahnhof+WVrsthaus+%26+Biergarten/@38.4161471,-82.4795745,14z/data=!4m10!1m2!2m1!1sfood+in+huntington+wv!3m6!1s0x884609da471559eb:0xf16204270c93cc6a!8m2!3d38.4161471!4d-82.4445556!10e1!15sChVmb29kIGluIGh1bnRpbmd0b24gd3ZaFyIVZm9vZCBpbiBodW50aW5ndG9uIHd2kgERZ2VybWFuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs   Restroom","null","Sausages, schnitzels, pretzels & other classic German food, served with full bar, indoors or out."
"1654733211-363","https://www.google.com/maps/place/Huntington+Museum+of+Art/@38.4408729,-82.5733437,11.73z/data=!4m10!1m2!2m1!1sthings+to+do+in+huntington+wv!3m6!1s0x8845e26183b51c93:0x699e2ab1b6e486f!8m2!3d38.3929342!4d-82.4341479!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dpIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWEzWklRemgzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Longtime museum featuring a large, varied collection of art, plus hiking trails & a conservatory."
"1654733262-368","https://www.google.com/maps/place/Heritage+Farm+Museum+%26+Village/@38.3764119,-82.6074431,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+huntington+wv!3m5!1s0x8845e22ef865d447:0x689d353752128932!8m2!3d38.3764183!4d-82.4673583!15sCh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dpIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReU9FbGZTbkYzUlJBQg","Heritage Farm Museum & Village","4.8","heritagefarmmuseum.com","3300 Harvey Rd, Huntington, WV 25704","null","null","https://lh5.googleusercontent.com/p/AF1QipNcPCNl1J6l0REQZ94BNJ6vGGps5onmD9NOp6Nf=w408-h306-k-no","null"
"1654733200-362","https://www.google.com/maps/place/Camden+Park/@38.4408729,-82.5733437,11.73z/data=!4m9!1m2!2m1!1sthings+to+do+in+huntington+wv!3m5!1s0x8845e039c7955c27:0x6ad3093a0028e9cd!8m2!3d38.3968255!4d-82.53044!15sCh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dpIBDmFtdXNlbWVudF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYTFMxUVZHNVJSUkFC","Camden Park","4.0","camdenpark.com","5000 Waverly Rd, Huntington, WV 25704","null","null","https://lh5.googleusercontent.com/p/AF1QipOX-6JLbui39fbU0-3KzvJtMikPXxgsN0JV_1P4=w408-h271-k-no","null"
"1654733190-361","https://www.google.com/maps/place/Camden+Park/@38.3968255,-82.6994419,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+huntington+wv!3m6!1s0x8845e039c7955c27:0x6ad3093a0028e9cd!8m2!3d38.3968255!4d-82.53044!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dlofIh10aGluZ3MgdG8gZG8gaW4gaHVudGluZ3RvbiB3dpIBDmFtdXNlbWVudF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYTFMxUVZHNVJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Baggage storage   Gender-neutral restroom   Good for kids   Restaurant   Restroom","null","Amusement park with a carousel, haunted house & other kid-centric activities in an outdoor space."
