web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654733460-376","https://www.google.com/maps/place/West+Virginia+Botanic+Garden/@39.6069147,-80.1713244,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+morgantown+wv!3m5!1s0x8835647b0a9e4841:0xb52dacd3bbe09769!8m2!3d39.6278264!4d-79.8674243!15sCh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dlofIh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dpIBEGJvdGFuaWNhbF9nYXJkZW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhkalJZWDNGQlJSQUI","West Virginia Botanic Garden","4.7","wvbg.org","1061 Tyrone Rd, Morgantown, WV 26508","null","null","https://lh5.googleusercontent.com/p/AF1QipNZjkvWBgLTc6HhAFjvZWd6qqSaDlONaoao-nmp=w408-h306-k-no","null"
"1654733424-373","https://www.google.com/maps/place/Morgantown+History+Museum/@39.6069147,-80.1713244,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+morgantown+wv!3m6!1s0x88357c8209f84a89:0xa2b1fc1d3a1980fb!8m2!3d39.628138!4d-79.9578301!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dlofIh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dpIBDmhpc3RvcnlfbXVzZXVt","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Local & regional history displayed in a city-sponsored museum with temporary exhibits."
"1654733383-369","https://www.google.com/maps/place/Chaang+Thai+Restaurant/@39.6306466,-79.9905644,14z/data=!3m1!5s0x88357b7cfff41249:0x2d0f5d63c4864e46!4m10!1m2!2m1!1sfood+in+morgantown+wv!3m6!1s0x88357b7cff17a2b1:0xe4280e3f125f2e71!8m2!3d39.6306466!4d-79.9555455!10e1!15sChVmb29kIGluIG1vcmdhbnRvd24gd3ZaFyIVZm9vZCBpbiBtb3JnYW50b3duIHd2kgEPdGhhaV9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Traditional Thai fare such as noodles & curry in a relaxed setting with seating & a warm vibe."
"1654733413-372","https://www.google.com/maps/place/Dorsey's+Knob+Park+and+Disc+Golf+Course/@39.6069147,-80.1713244,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+morgantown+wv!3m5!1s0x88357cf0c19ed4f7:0x9db8727d7ef60073!8m2!3d39.5980149!4d-79.9578175!15sCh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dlofIh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dpIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTJiWEJMVFROQlJSQUI","Dorsey's Knob Park and Disc Golf Course","4.5","boparc.org","1107 Dorsey Ave, Morgantown, WV 26501","null","null","https://lh5.googleusercontent.com/p/AF1QipP-9teG04HuqldZ5aA97S_7hLsSas1KySFVzoto=w408-h306-k-no","null"
"1654733450-375","https://www.google.com/maps/place/West+Virginia+Botanic+Garden/@39.6069147,-80.1713244,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+morgantown+wv!3m6!1s0x8835647b0a9e4841:0xb52dacd3bbe09769!8m2!3d39.6278264!4d-79.8674243!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dlofIh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dpIBEGJvdGFuaWNhbF9nYXJkZW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhkalJZWDNGQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Lush site with numerous species of flowers & trees set in a former reservoir with a walking trail."
"1654733470-377","https://www.google.com/maps/place/Core+Arboretum/@39.6069147,-80.1713244,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+morgantown+wv!3m6!1s0x88357b940ff85ecf:0x1f338690618310cf!8m2!3d39.6461505!4d-79.9810733!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dlofIh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dpIBCWFyYm9yZXR1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOcGFYSTNlSEYzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","University park facility on 91 acres of forest & flood plain, filled with trees, plants & birds."
"1654733481-378","https://www.google.com/maps/place/Core+Arboretum/@39.6069147,-80.1713244,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+morgantown+wv!3m5!1s0x88357b940ff85ecf:0x1f338690618310cf!8m2!3d39.6461505!4d-79.9810733!15sCh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dlofIh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dpIBCWFyYm9yZXR1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOcGFYSTNlSEYzUlJBQg","Core Arboretum","4.8","arboretum.wvu.edu","Monongahela Blvd, Morgantown, WV 26505","null","null","https://lh5.googleusercontent.com/p/AF1QipOhJEwFQlF5VpwLKceI0w6dc0XxNWdfGz39xc4B=w408-h306-k-no","null"
"1654733439-374","https://www.google.com/maps/place/Morgantown+History+Museum/@39.6069147,-80.1713244,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+morgantown+wv!3m5!1s0x88357c8209f84a89:0xa2b1fc1d3a1980fb!8m2!3d39.628138!4d-79.9578301!15sCh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dlofIh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dpIBDmhpc3RvcnlfbXVzZXVt","Morgantown History Museum","4.7","morgantownhistorymuseum.org","175 Kirk St, Morgantown, WV 26505","null","null","https://lh5.googleusercontent.com/p/AF1QipNCupgcKFL2FXZqEYPRfyH6Tyf9OKwROUIPw_Gc=w506-h240-k-no","null"
"1654733403-371","https://www.google.com/maps/place/Dorsey's+Knob+Park+and+Disc+Golf+Course/@39.6069147,-80.1713244,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+morgantown+wv!3m6!1s0x88357cf0c19ed4f7:0x9db8727d7ef60073!8m2!3d39.5980149!4d-79.9578175!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dlofIh10aGluZ3MgdG8gZG8gaW4gbW9yZ2FudG93biB3dpIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTJiWEJMVFROQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Picturesque, hilltop park featuring a range of trails, a disc-golf course & playground on 70 acres."
"1654733393-370","https://www.google.com/maps/place/Chaang+Thai+Restaurant/@39.6306466,-79.9905644,14z/data=!3m1!5s0x88357b7cfff41249:0x2d0f5d63c4864e46!4m9!1m2!2m1!1sfood+in+morgantown+wv!3m5!1s0x88357b7cff17a2b1:0xe4280e3f125f2e71!8m2!3d39.6306466!4d-79.9555455!15sChVmb29kIGluIG1vcmdhbnRvd24gd3ZaFyIVZm9vZCBpbiBtb3JnYW50b3duIHd2kgEPdGhhaV9yZXN0YXVyYW50","Chaang Thai Restaurant","4.3","chaangthai.com","361 High St, Morgantown, WV 26505","null","null","https://lh5.googleusercontent.com/p/AF1QipNpuyiqAokLVZSP9uVutAiWWb4x4i71w4PfnPoj=w408-h306-k-no","null"
