web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654733881-394","https://www.google.com/maps/place/Oglebay+Good+Zoo/@40.0107338,-80.9816539,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+wheeling+wv!3m5!1s0x8835d0720a3246a1:0x2b42e5180483bd0c!8m2!3d40.0970999!4d-80.6667712!15sCht0aGluZ3MgdG8gZG8gaW4gd2hlZWxpbmcgd3ZaHSIbdGhpbmdzIHRvIGRvIGluIHdoZWVsaW5nIHd2kgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15ZVdKUGFteDNSUkFC","Oglebay Good Zoo","4.4","oglebay.com","345 Zoo Cir, Wheeling, WV 26003","null","null","https://lh5.googleusercontent.com/p/AF1QipOzN__8_HRfFLE3uivtq1gfAytmpeyyAo884bYG=w426-h240-k-no","null"
"1654733829-389","https://www.google.com/maps/place/Figaretti's+Restaurant/@40.0666354,-80.7355672,13z/data=!4m10!1m2!2m1!1sfood+in+wheeling+wv!3m6!1s0x8835da4f43ef8faf:0x58697d593ca23a28!8m2!3d40.0661718!4d-80.6926259!10e1!15sChNmb29kIGluIHdoZWVsaW5nIHd2WhUiE2Zvb2QgaW4gd2hlZWxpbmcgd3aSARJpdGFsaWFuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Longtime family-run standby offers traditional Italian plates & signature spaghetti sauce for sale."
"1654733922-398","https://www.google.com/maps/place/Oglebay+Institute+Glass+Museum/@40.0107338,-80.9816539,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+wheeling+wv!3m5!1s0x8835d07a98f4d53b:0x224ee31967030b12!8m2!3d40.1042603!4d-80.6664867!15sCht0aGluZ3MgdG8gZG8gaW4gd2hlZWxpbmcgd3ZaHSIbdGhpbmdzIHRvIGRvIGluIHdoZWVsaW5nIHd2kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50YWtvMmN6aEJSUkFC","Oglebay Institute Glass Museum","4.5","oionline.com","1330 Oglebay Dr, Wheeling, WV 26003","null","null","https://lh5.googleusercontent.com/p/AF1QipP-W4ir2-vuwCVaMOoFHh8DeIcNJfgaXh7Cyv7g=w426-h240-k-no","null"
"1654733839-390","https://www.google.com/maps/place/Figaretti's+Restaurant/@40.0666354,-80.7355672,13z/data=!4m9!1m2!2m1!1sfood+in+wheeling+wv!3m5!1s0x8835da4f43ef8faf:0x58697d593ca23a28!8m2!3d40.0661718!4d-80.6926259!15sChNmb29kIGluIHdoZWVsaW5nIHd2WhUiE2Zvb2QgaW4gd2hlZWxpbmcgd3aSARJpdGFsaWFuX3Jlc3RhdXJhbnQ","Figaretti's Restaurant","4.5","figarettis.net","1035 Mount Dechantal Rd, Wheeling, WV 26003","null","null","https://lh5.googleusercontent.com/p/AF1QipN-gprLoi5rTQ4ZMMa5W0lX5a_yH5wy3FdJ-pOl=w408-h306-k-no","null"
"1654733911-397","https://www.google.com/maps/place/Oglebay+Institute+Glass+Museum/@40.0107338,-80.9816539,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+wheeling+wv!3m6!1s0x8835d07a98f4d53b:0x224ee31967030b12!8m2!3d40.1042603!4d-80.6664867!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gd2hlZWxpbmcgd3ZaHSIbdGhpbmdzIHRvIGRvIGluIHdoZWVsaW5nIHd2kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50YWtvMmN6aEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Museum featuring a collection of glass art & various crafts, plus glass-blowing demonstrations."
"1654733891-395","https://www.google.com/maps/place/Kruger+Street+Toy+and+Train+Museum/@40.0107338,-80.9816539,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+wheeling+wv!3m6!1s0x8835db16eec478f5:0x6b352802b759e9fd!8m2!3d40.0405207!4d-80.6583539!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gd2hlZWxpbmcgd3ZaHSIbdGhpbmdzIHRvIGRvIGluIHdoZWVsaW5nIHd2kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50ZDA4eVIzWlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Nostalgic place with extensive exhibits of classic toys as well as operating model train layouts."
"1654733860-392","https://www.google.com/maps/place/Heritage+Port/@40.0107338,-80.9816539,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+wheeling+wv!3m2!1s0x8835d98657ac6fdd:0xc0b3adb0da8ea010!15sCht0aGluZ3MgdG8gZG8gaW4gd2hlZWxpbmcgd3ZaHSIbdGhpbmdzIHRvIGRvIGluIHdoZWVsaW5nIHd2kgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReU5EVkVjVFZuUlJBQg","Heritage Port","4.5","wheelingwv.gov","Wheeling, WV 26003","null","null","https://lh5.googleusercontent.com/p/AF1QipN731ZegumEI4H-IDrShmkhIsn9uscH9zhMC1PW=w408-h306-k-no","null"
"1654733850-391","https://www.google.com/maps/place/Heritage+Port/@40.0107338,-80.9816539,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+wheeling+wv!3m6!1s0x8835d98657ac6fdd:0xc0b3adb0da8ea010!8m2!3d40.0671739!4d-80.7247472!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gd2hlZWxpbmcgd3ZaHSIbdGhpbmdzIHRvIGRvIGluIHdoZWVsaW5nIHd2kgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReU5EVkVjVFZuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Year-round festivals & live entertainment draw crowds to this riverfront park along a bike trail."
"1654733901-396","https://www.google.com/maps/place/Kruger+Street+Toy+and+Train+Museum/@40.0107338,-80.9816539,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+wheeling+wv!3m5!1s0x8835db16eec478f5:0x6b352802b759e9fd!8m2!3d40.0405207!4d-80.6583539!15sCht0aGluZ3MgdG8gZG8gaW4gd2hlZWxpbmcgd3ZaHSIbdGhpbmdzIHRvIGRvIGluIHdoZWVsaW5nIHd2kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50ZDA4eVIzWlJSUkFC","Kruger Street Toy and Train Museum","4.6","toyandtrain.com","144 Kruger St, Wheeling, WV 26003","null","null","https://lh5.googleusercontent.com/p/AF1QipOApvtrem7-cWFm0CBgdrSgl_yUJv74xNYMklK3=w408-h306-k-no","null"
"1654733870-393","https://www.google.com/maps/place/Oglebay+Good+Zoo/@40.0107338,-80.9816539,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+wheeling+wv!3m6!1s0x8835d0720a3246a1:0x2b42e5180483bd0c!8m2!3d40.0970999!4d-80.6667712!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gd2hlZWxpbmcgd3ZaHSIbdGhpbmdzIHRvIGRvIGluIHdoZWVsaW5nIHd2kgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15ZVdKUGFteDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Rare & endangered species reside in this large zoo with a variety of exhibits & nature programs."
