web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654730074-321","https://www.google.com/maps/place/Werner+Wildlife+Museum+at+Casper+College/@42.8163871,-106.6469182,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+casper+wy!3m6!1s0x8760bb67ba366a2b:0xee639561d033e980!8m2!3d42.83514!4d-106.3204886!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gY2FzcGVyIHd5WhsiGXRoaW5ncyB0byBkbyBpbiBjYXNwZXIgd3mSARZuYXR1cmFsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54TURrelVVMVJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Free Casper College museum with family-friendly wildlife exhibits, tours & educational programs."
"1654730125-326","https://www.google.com/maps/place/Rotary+Park/@42.8163871,-106.6469182,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+casper+wy!3m5!1s0x8760baa6599b90b3:0x71b35e9d33eef3fc!8m2!3d42.7688534!4d-106.3319703!15sChl0aGluZ3MgdG8gZG8gaW4gY2FzcGVyIHd5WhsiGXRoaW5ncyB0byBkbyBpbiBjYXNwZXIgd3mSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4ZWs5bGNtSlJFQUU","Rotary Park","4.8","https://www.alltrails.com/parks/us/wyoming/rotary-park","Casper, WY 82601","null","null","https://lh5.googleusercontent.com/p/AF1QipMTuIZ2SX4rPe4RAithfrw2QXQSuES2MLVqN8wd=w408-h725-k-no","null"
"1654730094-323","https://www.google.com/maps/place/Nicolaysen+Art+Museum/@42.8163871,-106.6469182,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+casper+wy!3m6!1s0x8760bc9f3b9184cb:0x46ee0b3681757581!8m2!3d42.8479405!4d-106.3200644!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gY2FzcGVyIHd5WhsiGXRoaW5ncyB0byBkbyBpbiBjYXNwZXIgd3mSARdub25fcHJvZml0X29yZ2FuaXphdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE1uTmlVMkYzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom","null","null","Traditional & contemporary Western art is on display at this facility with a self-guided studio."
"1654730104-324","https://www.google.com/maps/place/Nicolaysen+Art+Museum/@42.8163871,-106.6469182,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+casper+wy!3m5!1s0x8760bc9f3b9184cb:0x46ee0b3681757581!8m2!3d42.8479405!4d-106.3200644!15sChl0aGluZ3MgdG8gZG8gaW4gY2FzcGVyIHd5WhsiGXRoaW5ncyB0byBkbyBpbiBjYXNwZXIgd3mSARdub25fcHJvZml0X29yZ2FuaXphdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE1uTmlVMkYzRUFF","Nicolaysen Art Museum","4.5","thenic.org","400 E Collins Dr, Casper, WY 82601","null","null","https://lh5.googleusercontent.com/p/AF1QipMog_yAa1M9hTXc1aLzN1P18jtpTo9UkREzc_RF=w408-h272-k-no","null"
"1654730063-320","https://www.google.com/maps/place/Wyoming's+Rib+%26+Chop+House-+Casper/@42.8389842,-106.3436765,13z/data=!4m9!1m2!2m1!1sfood+in+casper+wy!3m5!1s0x8760bda47111037f:0x3e4c44fd646f928a!8m2!3d42.8476448!4d-106.3253936!15sChFmb29kIGluIGNhc3BlciB3eVoTIhFmb29kIGluIGNhc3BlciB3eZIBC3N0ZWFrX2hvdXNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5ITmpWVWQxWkJFQUU","Wyoming's Rib & Chop House- Casper","4.3","ribandchophouse.com","256 S Center St, Casper, WY 82601","null","null","https://lh5.googleusercontent.com/p/AF1QipMtkznjg4vIe60989UG4qrR1hldx5hGRvllNVGw=w408-h240-k-no-pi-0-ya107.71001-ro-0-fo100","null"
"1654730145-328","https://www.google.com/maps/place/National+Historic+Trails+Interpretive+Center/@42.8163871,-106.6469182,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+casper+wy!3m5!1s0x8760bccf1d17670f:0xb76c38191caf6df9!8m2!3d42.866323!4d-106.337166!15sChl0aGluZ3MgdG8gZG8gaW4gY2FzcGVyIHd5WhsiGXRoaW5ncyB0byBkbyBpbiBjYXNwZXIgd3mSAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWGVEWkxhVTluRUFF","National Historic Trails Interpretive Center","4.9","nhtcf.org","1501 N Poplar St, Casper, WY 82601","null","null","https://lh5.googleusercontent.com/p/AF1QipMXAUqhHIxuN2g5NLHI_L6BDzAUPHz2I9hx9bs=w408-h306-k-no","null"
"1654730115-325","https://www.google.com/maps/place/Rotary+Park/@42.8163871,-106.6469182,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+casper+wy!3m6!1s0x8760baa6599b90b3:0x71b35e9d33eef3fc!8m2!3d42.7688534!4d-106.3319703!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gY2FzcGVyIHd5WhsiGXRoaW5ncyB0byBkbyBpbiBjYXNwZXIgd3mSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4ZWs5bGNtSlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","A network of hiking trails leading up to the base of  scenic waterfalls, with picnic tables."
"1654730135-327","https://www.google.com/maps/place/National+Historic+Trails+Interpretive+Center/@42.8163871,-106.6469182,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+casper+wy!3m6!1s0x8760bccf1d17670f:0xb76c38191caf6df9!8m2!3d42.866323!4d-106.337166!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gY2FzcGVyIHd5WhsiGXRoaW5ncyB0byBkbyBpbiBjYXNwZXIgd3mSAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWGVEWkxhVTluRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Interactive exhibits provide a glimpse of life on the road from packing wagons to crossing rivers."
"1654730053-319","https://www.google.com/maps/place/Wyoming's+Rib+%26+Chop+House-+Casper/@42.8476448,-106.3954314,13z/data=!4m10!1m2!2m1!1sfood+in+casper+wy!3m6!1s0x8760bda47111037f:0x3e4c44fd646f928a!8m2!3d42.8476448!4d-106.3253936!10e1!15sChFmb29kIGluIGNhc3BlciB3eVoTIhFmb29kIGluIGNhc3BlciB3eZIBC3N0ZWFrX2hvdXNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5ITmpWVWQxWkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Chophouse chain serving aged steaks, seafood, slow-cooked ribs & beer in a relaxed, casual setting."
"1654730084-322","https://www.google.com/maps/place/Werner+Wildlife+Museum+at+Casper+College/@42.8163871,-106.6469182,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+casper+wy!3m5!1s0x8760bb67ba366a2b:0xee639561d033e980!8m2!3d42.83514!4d-106.3204886!15sChl0aGluZ3MgdG8gZG8gaW4gY2FzcGVyIHd5WhsiGXRoaW5ncyB0byBkbyBpbiBjYXNwZXIgd3mSARZuYXR1cmFsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54TURrelVVMVJFQUU","Werner Wildlife Museum at Casper College","4.7","caspercollege.edu","405 E 15th St, Casper, WY 82601","null","null","https://lh5.googleusercontent.com/p/AF1QipN3Kk0nDJ0Vfmzv3qBKpiIgAK5xS6ZEF9-g_EU3=w408-h306-k-no","null"
