web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654729076-290","https://www.google.com/maps/place/2+Doors+Down/@41.1321099,-104.8314289,13z/data=!4m9!1m2!2m1!1sfood+in+cheyenne+wy!3m5!1s0x876f3ac250547c63:0x3850e9e9be4242f3!8m2!3d41.1344918!4d-104.8139914!15sChNmb29kIGluIGNoZXllbm5lIHd5WhUiE2Zvb2QgaW4gY2hleWVubmUgd3mSARNhbWVyaWNhbl9yZXN0YXVyYW50","2 Doors Down","4.5","2doorsdown.net","118 E 17th St, Cheyenne, WY 82001","null","null","https://lh5.googleusercontent.com/p/AF1QipNPVksOU-niM9IbFQLNYwD0hwRHU7tRm1Xzcblr=w408-h306-k-no","null"
"1654729106-293","https://www.google.com/maps/place/Cheyenne+Depot+Plaza/@41.1141232,-105.1489026,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+cheyenne+wy!3m6!1s0x876f3ac395e2856f:0xdab9546fdc016301!8m2!3d41.1326948!4d-104.8144224!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY2hleWVubmUgd3laHSIbdGhpbmdzIHRvIGRvIGluIGNoZXllbm5lIHd5kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0YTA1NlRIRjNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Well-known gathering place & open-air venue for local music performances & farmers' markets."
"1654729065-289","https://www.google.com/maps/place/2+Doors+Down/@41.134462,-104.8840098,13z/data=!4m10!1m2!2m1!1sfood+in+cheyenne+wy!3m6!1s0x876f3ac250547c63:0x3850e9e9be4242f3!8m2!3d41.1344918!4d-104.8139914!10e1!15sChNmb29kIGluIGNoZXllbm5lIHd5WhUiE2Zvb2QgaW4gY2hleWVubmUgd3mSARNhbWVyaWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","American outpost known for a variety of burgers with specialty toppings plus all-you-can-eat fries."
"1654729086-291","https://www.google.com/maps/place/Wyoming+State+Capitol/@41.1141232,-105.1489026,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+cheyenne+wy!3m6!1s0x876f3aeb65d2a647:0x9714c22a85734f86!8m2!3d41.1401348!4d-104.8202308!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY2hleWVubmUgd3laHSIbdGhpbmdzIHRvIGRvIGluIGNoZXllbm5lIHd5kgEXc3RhdGVfZ292ZXJubWVudF9vZmZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTJOWFJQY0d0QlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Stately government center built in the late 19th century, with stately columns & a dome-shaped top."
"1654729127-295","https://www.google.com/maps/place/Cheyenne+Frontier+Days+Old+West+Museum/@41.1141232,-105.1489026,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+cheyenne+wy!3m6!1s0x876f3a7b4bc835b3:0xc41075314d327d0f!8m2!3d41.1579452!4d-104.8340615!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY2hleWVubmUgd3laHSIbdGhpbmdzIHRvIGRvIGluIGNoZXllbm5lIHd5kgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJIY2t4aWJHRjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","History museum with temporary exhibits, photos, a video-screening room & rodeo gear on display."
"1654729117-294","https://www.google.com/maps/place/Cheyenne+Depot+Plaza/@41.1141232,-105.1489026,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+cheyenne+wy!3m2!1s0x876f3ac395e2856f:0xdab9546fdc016301!15sCht0aGluZ3MgdG8gZG8gaW4gY2hleWVubmUgd3laHSIbdGhpbmdzIHRvIGRvIGluIGNoZXllbm5lIHd5kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0YTA1NlRIRjNSUkFC","Cheyenne Depot Plaza","4.6","cheyenne.org","1 Depot Square Capitol &, W 15th St, Cheyenne, WY 82007","null","null","https://lh5.googleusercontent.com/p/AF1QipM6QXB-lrpw41cABgc7zEAo-_q5fHTxd6pYdGh3=w408-h363-k-no","null"
"1654729137-296","https://www.google.com/maps/place/Cheyenne+Frontier+Days+Old+West+Museum/@41.1141232,-105.1489026,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+cheyenne+wy!3m5!1s0x876f3a7b4bc835b3:0xc41075314d327d0f!8m2!3d41.1579452!4d-104.8340615!15sCht0aGluZ3MgdG8gZG8gaW4gY2hleWVubmUgd3laHSIbdGhpbmdzIHRvIGRvIGluIGNoZXllbm5lIHd5kgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJIY2t4aWJHRjNFQUU","Cheyenne Frontier Days Old West Museum","4.6","oldwestmuseum.org","4610 Carey Ave, Cheyenne, WY 82001","null","null","https://lh5.googleusercontent.com/p/AF1QipPjDe6mKmnL5KjomD1eng6lcSObBV_bL4fxGq3m=w408-h306-k-no","null"
"1654729147-297","https://www.google.com/maps/place/Cheyenne+Botanic+Gardens/@41.1141232,-105.1489026,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+cheyenne+wy!3m6!1s0x876f3a625ca86a89:0x8da9cc7854568976!8m2!3d41.155708!4d-104.8305412!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY2hleWVubmUgd3laHSIbdGhpbmdzIHRvIGRvIGluIGNoZXllbm5lIHd5kgEQYm90YW5pY2FsX2dhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWREZExRMXAzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Garden center with a variety of landscapes plus a solar-heated conservatory & play area for kids."
"1654729096-292","https://www.google.com/maps/place/Wyoming+State+Capitol/@41.1141232,-105.1489026,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+cheyenne+wy!3m5!1s0x876f3aeb65d2a647:0x9714c22a85734f86!8m2!3d41.1401348!4d-104.8202308!15sCht0aGluZ3MgdG8gZG8gaW4gY2hleWVubmUgd3laHSIbdGhpbmdzIHRvIGRvIGluIGNoZXllbm5lIHd5kgEXc3RhdGVfZ292ZXJubWVudF9vZmZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTJOWFJQY0d0QlJSQUI","Wyoming State Capitol","4.6","wyomingcapitolsquare.com","200 W 24th St, Cheyenne, WY 82001","null","null","https://lh5.googleusercontent.com/p/AF1QipOKBkiMumDltUGzm60lDw_cNv2S8Rf674LGrYxx=w408-h271-k-no","null"
"1654729158-298","https://www.google.com/maps/place/Cheyenne+Botanic+Gardens/@41.1141232,-105.1489026,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+cheyenne+wy!3m5!1s0x876f3a625ca86a89:0x8da9cc7854568976!8m2!3d41.155708!4d-104.8305412!15sCht0aGluZ3MgdG8gZG8gaW4gY2hleWVubmUgd3laHSIbdGhpbmdzIHRvIGRvIGluIGNoZXllbm5lIHd5kgEQYm90YW5pY2FsX2dhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWREZExRMXAzRUFF","Cheyenne Botanic Gardens","4.8","botanic.org","710 S Lions Park Dr, Cheyenne, WY 82001","null","null","https://lh5.googleusercontent.com/p/AF1QipN7p6z_Be1-WagY4L8LelMdXwmYjNK2rzzjS2H0=w408-h306-k-no","null"
