web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654730540-337","https://www.google.com/maps/place/Buffalo+Bill+Center+of+the+West/@44.618351,-109.7767405,10z/data=!3m1!5s0x534c1ed7f52b0631:0x9c91fcbe825b1360!4m10!1m2!2m1!1sthings+to+do+in+cody++wy!3m6!1s0x534c1ed802937c55:0xa14ffea0fde35455!8m2!3d44.5249986!4d-109.0731945!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gY29keSAgd3laGSIXdGhpbmdzIHRvIGRvIGluIGNvZHkgd3mSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhjVkJUVDBwQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Interactive Western museum with exhibitions dedicated to Buffalo Bill, firearms & natural history."
"1654730509-334","https://www.google.com/maps/place/Cody+Dug+Up+Gun+Museum/@44.618351,-109.7767405,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+cody++wy!3m5!1s0x534c1edaa148bdb1:0xe38bf10bdf701315!8m2!3d44.5265075!4d-109.0637423!15sChh0aGluZ3MgdG8gZG8gaW4gY29keSAgd3laGSIXdGhpbmdzIHRvIGRvIGluIGNvZHkgd3mSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRhSFpFVjA1bkVBRQ","Cody Dug Up Gun Museum","4.7","codydugupgunmuseum.com","1020 12th St, Cody, WY 82414","null","null","https://lh5.googleusercontent.com/p/AF1QipNAcxUABEMsAH6LNCOF109pgZSRsej-LRWuk3Kq=w408-h306-k-no","null"
"1654730550-338","https://www.google.com/maps/place/Buffalo+Bill+Center+of+the+West/@44.618351,-109.7767405,10z/data=!3m1!5s0x534c1ed7f52b0631:0x9c91fcbe825b1360!4m9!1m2!2m1!1sthings+to+do+in+cody++wy!3m5!1s0x534c1ed802937c55:0xa14ffea0fde35455!8m2!3d44.5249986!4d-109.0731945!15sChh0aGluZ3MgdG8gZG8gaW4gY29keSAgd3laGSIXdGhpbmdzIHRvIGRvIGluIGNvZHkgd3mSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhjVkJUVDBwQkVBRQ","Buffalo Bill Center of the West","4.8","centerofthewest.org","720 Sheridan Ave, Cody, WY 82414","null","null","https://lh5.googleusercontent.com/p/AF1QipPKqjOtdafVPayYdsZPZYV9C1jKyIAm2B4RbDKO=w408-h306-k-no","null"
"1654730529-336","https://www.google.com/maps/place/Old+Trail+Town/@44.618351,-109.7767405,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+cody++wy!3m5!1s0x534c1f4ea2992797:0x6ddd1d7bdb2a7b25!8m2!3d44.5153984!4d-109.1043634!15sChh0aGluZ3MgdG8gZG8gaW4gY29keSAgd3laGSIXdGhpbmdzIHRvIGRvIGluIGNvZHkgd3mSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU9TMURWVWxCRUFF","Old Trail Town","4.6","oldtrailtown.org","1831 Demaris Dr, Cody, WY 82414","null","null","https://lh5.googleusercontent.com/p/AF1QipOf_vRQ5GD4fR5GT1ioEPeMYZNfbw5T506kNZ0S=w408-h306-k-no","null"
"1654730498-333","https://www.google.com/maps/place/Cody+Dug+Up+Gun+Museum/@44.618351,-109.7767405,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+cody++wy!3m6!1s0x534c1edaa148bdb1:0xe38bf10bdf701315!8m2!3d44.5265075!4d-109.0637423!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gY29keSAgd3laGSIXdGhpbmdzIHRvIGRvIGluIGNvZHkgd3mSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRhSFpFVjA1bkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Vast collection of antique & vintage weapons from the Civil War, both World Wars & other periods."
"1654730457-329","https://www.google.com/maps/place/Granny's+Restaurant/@44.5244511,-109.0784083,14z/data=!4m10!1m2!2m1!1sfood+in+cody+wy!3m6!1s0x534c1ecf1b1420a5:0x1cab855577460464!8m2!3d44.5257199!4d-109.0573122!10e1!15sCg9mb29kIGluIGNvZHkgd3laESIPZm9vZCBpbiBjb2R5IHd5kgERZmFtaWx5X3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Homestyle American meals are served up from early morning to night in a relaxed space with a patio."
"1654730468-330","https://www.google.com/maps/place/Granny's+Restaurant/@44.5244511,-109.0784083,14z/data=!4m9!1m2!2m1!1sfood+in+cody+wy!3m5!1s0x534c1ecf1b1420a5:0x1cab855577460464!8m2!3d44.5257199!4d-109.0573122!15sCg9mb29kIGluIGNvZHkgd3laESIPZm9vZCBpbiBjb2R5IHd5kgERZmFtaWx5X3Jlc3RhdXJhbnQ","Granny's Restaurant","4.2","grannysrestaurantwy.com","1550 Sheridan Ave, Cody, WY 82414","null","null","https://lh5.googleusercontent.com/p/AF1QipNtXP7pvl2KWQyDD3WYIfL23fYnwOAjkFAeP_sE=w408-h306-k-no","null"
"1654730478-331","https://www.google.com/maps/place/Buffalo+Bill+Dam+%26+Visitor+Center/@44.618351,-109.7767405,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+cody++wy!3m6!1s0x534c26b8bbc9c78d:0xb0a61b94f9e9c8f2!8m2!3d44.5013668!4d-109.1839211!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gY29keSAgd3laGSIXdGhpbmdzIHRvIGRvIGluIGNvZHkgd3mSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4Y1V4VVJFOVJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","History & facts about the concrete arch dam through film & taxidermy, plus close-up reservoir views."
"1654730519-335","https://www.google.com/maps/place/Old+Trail+Town/@44.618351,-109.7767405,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+cody++wy!3m6!1s0x534c1f4ea2992797:0x6ddd1d7bdb2a7b25!8m2!3d44.5153984!4d-109.1043634!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gY29keSAgd3laGSIXdGhpbmdzIHRvIGRvIGluIGNvZHkgd3mSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU9TMURWVWxCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","A collection of ghost-town relics recreate the frontier west in Buffalo Bill's original Cody Town."
"1654730488-332","https://www.google.com/maps/place/Buffalo+Bill+Dam+%26+Visitor+Center/@44.618351,-109.7767405,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+cody++wy!3m5!1s0x534c26b8bbc9c78d:0xb0a61b94f9e9c8f2!8m2!3d44.5013668!4d-109.1839211!15sChh0aGluZ3MgdG8gZG8gaW4gY29keSAgd3laGSIXdGhpbmdzIHRvIGRvIGluIGNvZHkgd3mSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4Y1V4VVJFOVJFQUU","Buffalo Bill Dam & Visitor Center","4.7","bbdvc.com","4808 N Fork Hwy, Cody, WY 82414","null","null","https://lh5.googleusercontent.com/p/AF1QipOY1ncCvAfkFlhprdFG4ThK9MKjdn6phCc3Z6Q4=w408-h297-k-no","null"
