web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654729644-315","https://www.google.com/maps/place/Jackson+Town+Square/@43.6269794,-111.3154423,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+jackson+wy!3m6!1s0x53531a42caae3029:0xabeedd57bac089b7!8m2!3d43.4799559!4d-110.7617792!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eVocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJOblZtUjFkM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Popular park with iconic elk antler archways at each corner & a grassy center with trees & benches."
"1654729665-317","https://www.google.com/maps/place/Jackson+Hole+Aerial+Tram+and+Gondola+Rides/@43.6269794,-111.3154423,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+jackson+wy!3m6!1s0x53530562f073effb:0x4c02d11083e5a09c!8m2!3d43.5875324!4d-110.8276856!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eVocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eZIBCnNraV9yZXNvcnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Aerial gondola rides over a picturesque valley to a peak with 3 restaurants, skiing & hiking trails."
"1654729603-311","https://www.google.com/maps/place/Jackson+Hole+Rodeo/@43.4731265,-111.8882242,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+jackson+wy!3m6!1s0x53531a6c6b298b0b:0xab80dd42427201c5!8m2!3d43.4731265!4d-110.7676187!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eVocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eZIBBXJvZGVvmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTWt4MmVtdG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Roping events, bronco riding & other rodeo activities star at this outdoor arena & concession stand."
"1654729655-316","https://www.google.com/maps/place/Jackson+Town+Square/@43.6269794,-111.3154423,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+jackson+wy!3m5!1s0x53531a42caae3029:0xabeedd57bac089b7!8m2!3d43.4799559!4d-110.7617792!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eVocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJOblZtUjFkM0VBRQ","Jackson Town Square","4.6","jacksonwy.gov","10 E Broadway Ave, Jackson, WY 83001","null","null","https://lh5.googleusercontent.com/p/AF1QipNsw8AkdQYOYOoBVVTd2m1RufEXClglXjoEwjjN=w408-h306-k-no","null"
"1654729624-313","https://www.google.com/maps/place/National+Elk+Refuge/@43.6269794,-111.3154423,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+jackson+wy!3m6!1s0x53531a4f72645e8b:0x2dfce68edd203d12!8m2!3d43.4797306!4d-110.7432038!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eVocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eZIBD3dpbGRsaWZlX3JlZnVnZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRGNVcEVha2RCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Various wildlife inhabit this preserve where elk herds descend in winter & sleigh rides are offered."
"1654729593-310","https://www.google.com/maps/place/Miazga's/@43.4774722,-110.7806748,15z/data=!4m6!1m2!2m1!1sfood+in+jackson+wy!3m2!1s0x53531b2d7cc4357f:0xff8549363494a612!15sChJmb29kIGluIGphY2tzb24gd3laFCISZm9vZCBpbiBqYWNrc29uIHd5kgEKcmVzdGF1cmFudA","Miazga's","4.6","miazgas.com","399 W Broadway, Jackson, WY 83001","null","null","https://lh5.googleusercontent.com/p/AF1QipOyN-vfCaxquWPgVlUefUW2R3BIMEQ28HbEe4JX=w408-h272-k-no","null"
"1654729634-314","https://www.google.com/maps/place/National+Elk+Refuge/@43.6269794,-111.3154423,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+jackson+wy!3m5!1s0x53531a4f72645e8b:0x2dfce68edd203d12!8m2!3d43.4797306!4d-110.7432038!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eVocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eZIBD3dpbGRsaWZlX3JlZnVnZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRGNVcEVha2RCRUFF","National Elk Refuge","4.7","fws.gov","675 E Broadway Ave, Jackson, WY 83001","null","null","https://lh5.googleusercontent.com/p/AF1QipPhf5sIqC1RUw9CmL49Ae7N4Gp_vqPWm3vV0fhW=w408-h271-k-no","null"
"1654729676-318","https://www.google.com/maps/place/Jackson+Hole+Aerial+Tram+and+Gondola+Rides/@43.6269794,-111.3154423,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+jackson+wy!3m5!1s0x53530562f073effb:0x4c02d11083e5a09c!8m2!3d43.5875324!4d-110.8276856!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eVocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eZIBCnNraV9yZXNvcnQ","Jackson Hole Aerial Tram and Gondola Rides","4.7","jacksonhole.com","3275 West Village Dr, Teton Village, WY 83025","null","null","https://lh5.googleusercontent.com/p/AF1QipNjWG6-Fc9K1ZBHs8VCkxjtdyJbehbxykt7AqUs=w408-h272-k-no","null"
"1654729582-309","https://www.google.com/maps/place/Miazga's/@43.4774722,-110.7806748,15z/data=!4m10!1m2!2m1!1sfood+in+jackson+wy!3m6!1s0x53531b2d7cc4357f:0xff8549363494a612!8m2!3d43.4797666!4d-110.7692341!10e1!15sChJmb29kIGluIGphY2tzb24gd3laFCISZm9vZCBpbiBqYWNrc29uIHd5kgEKcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   High chairs","null","Modest eatery with a menu of classic Polish & Italian comfort food, plus outdoor seating."
"1654729614-312","https://www.google.com/maps/place/Jackson+Hole+Rodeo/@43.6269794,-111.3154423,9z/data=!4m6!1m2!2m1!1sthings+to+do+in+jackson+wy!3m2!1s0x53531a6c6b298b0b:0xab80dd42427201c5!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eVocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiB3eZIBBXJvZGVvmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTWt4MmVtdG5SUkFC","Jackson Hole Rodeo","4.6","jhrodeo.com","447 W Snow King Ave, Jackson, WY 83001","null","null","https://lh5.googleusercontent.com/p/AF1QipNYSeUewyF8lAlV9p7kXwQmJAdQWYNHuTVd-MVH=w408-h306-k-no","null"
